年,月日,種目,被害地域,主な被害（死者）,主な被害（不明）,主な被害（負傷）,主な被害（流出家屋）,主な被害（破損流出）,主な被害（全壊）,主な被害（半壊）,主な被害（一部破損）,主な被害（一部損壊）,主な被害（床上）,主な被害（床下）
昭和22,9.14～15,台風（カスリーン）,区部・多摩地域,6,2,3,40,,75,81,,,78993,24879
昭和23,9.16,台風（アイオン）,区部・多摩地域,1,1,22,2,,76,158,,,73750,64127
昭和24,8.31～9.1,台風（キティ）,区部,18,,104,,,896,3233,,,73750,64127
昭和33,7.22～23,台風第１１号,区部・多摩地域,3,,130,,590,18,50,,,13459,22970
昭和33,9.26～28,台風第２２号（狩野川）,都内全域,36,3,164,42,,330,590,,,142802,337731
昭和34,9.26～27,台風第１５号（伊勢湾）,区部・多摩地域,3,,33,,,42,239,1972,,1402,9561
昭和40,8.21～23,台風第１７号,都内全域,,,9,,,1,7,104,,759,
昭和40,9.16～18,台風第２４号,都内全域,6,,10,,,3,11,165,,257,
昭和41,6.27～28,台風第４号,都内全域,2,1,6,,,12,20,37,,15852,
昭和41,9.24～25,台風第２６号,多摩地域,5,,313,,,377,2934,51088,,439,
昭和46,8.31,台風第２３号,区部・多摩地域,3,,,,,,1,24,,577,
昭和47,7.12,大雨,区部・多摩地域,,,,,,2,2,4,,738,
昭和48,10.13,大雨,区部・多摩地域,,,,,,,,,,571,
昭和49,7.20,雷雨,区部・多摩地域,1,,2,,,,3,1,,770,
昭和49,9.1,台風第１６号,都内全域,,,2,,,19,,9,,80,
昭和50,10.5,台風第１３号,島しょ地域,,,85,,,285,524,1286,,4,
昭和51,9.9,台風第１７号,区部・多摩地域,,,1,,,,,6,,2288,
昭和53,2.28,突風,区部,,,34,,,1,2,584,,,
昭和53,4.6,集中豪雨,区部・多摩地域,,1,1,,,,,2,,1874,
昭和54,5.15,集中豪雨,区部・多摩地域,,,,,,,,,,826,
昭和54,10.19,台風第２０号,都内全域,5,,81,,,33,358,1505,,184,
昭和56,7.22,集中豪雨,区部・多摩地域,,,,,,,,,,1796,
昭和56,10.22,台風第２４号,都内全域,,,4,,,1,1,6,,6235,
昭和57,9.12,台風第１８号,都内全域,,,13,,,4,3,18,,5733,
昭和58,11.7,台風第１７号,区部全域,,,6,,,30,24,73,,1,
昭和60,6.30～7.1,台風第６号,都内全域,,,5,,,3,4,47,,22,209
昭和60,7.14,大雨,区部,1,,1,,,,,2,,1193,7351
昭和60,9.6,大雨,足立,,,,,,,,,,65,855
昭和61,8.4,台風第１０号,都内全域,,,,,,,,,,738,
昭和62,7.25,大雨,都内全域,1,,1,,,,,,,349,3482
昭和62,7.31,大雨,区部,1,,2,,,,,,,250,1947
昭和62,8.24,大雨,都内全域,,,,,,,,,,25,657
平成元,8.1,大雨,都内全域,,,1,,,,,5,,1100,2534
平成元,8.10,大雨,区部・多摩地域,,,,,,,1,,,189,434
平成3,9.19～20,台風第１８号,都内全域,1,,3,,,1,3,10,,483,2739
平成5,8.26～27,台風第１１号,都内全域,,,,,,,,,3,826,3312
平成7,9.16～17,台風第１２号,島しょ地域,,,1,,,16,24,,659,,6
平成8,9.21～22,台風第１７号,都内全域,,,9,,,1,5,,199,10,72
平成9,6.20,台風第７号,渋谷・武蔵村山ほか,1,,3,,,,,,20,1,6
平成9,9.21～25,台風第２４号,小笠原,3,,3,,,3,5,,93,,
平成10,1.15,大雪,都内各地,1,,2,,,,,,26,,
平成11,7.21,大雨,新宿、杉並ほか,1,,3,,,,,,,493,315
平成12,7.8,台風第３号,都内全域,,,1,,,3,,,13,4,33
平成13,9.10,台風第１１号,都内全域,1,,1,,,,,,59,10,133
平成14,10.1,台風第２１号,都内全域,,,,,,4,9,,61,2,26
平成15,9.21,台風第１５号,都内全域,,,,,,6,19,,166,,
平成16,10.8,台風第２２号,都内全域,,,,,,,1,,23,289,785
平成17,9.4,大雨,中野・杉並外,,,,,,,,,,2972,2644
平成18,9.11,集中豪雨,都内全域,,,,,,,,,,32,54
平成19,9.6,台風第９号,都内全域,,,3,,,,7,,166,6,34
平成20,8.5,大雨,区部,5,,,,,,,,,86,87
平成21,10.8,台風１８号,都内全域,,,4,,,1,,,20,15,30
平成22,7.5,大雨,都内全域,,2,,,,,,,,381,401
平成25,10.16,台風２６号,大島町外,36,4,3,,,73,45,,85,2,34
