市町村等をまとめた地域,市町村等,雨量基準,土壌雨量指数基準
２３区西部,千代田区,Ｒ３＝１００,174
２３区西部,中央区,Ｒ１＝７０,-
２３区西部,港区,平坦地：Ｒ３＝１００平坦地以外：Ｒ１＝６０,154
２３区西部,新宿区,Ｒ１＝４０,173
２３区西部,文京区,Ｒ１＝４０,168
２３区西部,品川区,Ｒ１＝４５,154
２３区西部,目黒区,Ｒ１＝５０,154
２３区西部,大田区,Ｒ１＝５０,154
２３区西部,世田谷区,Ｒ１＝６０,151
２３区西部,渋谷区,Ｒ１＝５０,167
２３区西部,中野区,Ｒ１＝４０,174
２３区西部,杉並区,Ｒ１＝６０,164
２３区西部,豊島区,Ｒ１＝５０,173
２３区西部,北区,Ｒ３＝７０,154
２３区西部,板橋区,Ｒ１＝４５,155
２３区西部,練馬区,Ｒ１＝６０,165
２３区東部,台東区,Ｒ１＝５０,168
２３区東部,墨田区,Ｒ１＝６０,-
２３区東部,江東区,平坦地：Ｒ３＝１１０平坦地以外：Ｒ１＝６０,-
２３区東部,荒川区,Ｒ１＝５０,168
２３区東部,足立区,Ｒ１＝６０,-
２３区東部,葛飾区,Ｒ１＝５０,-
２３区東部,江戸川区,平坦地：Ｒ１＝６０平坦地以外：Ｒ３＝１１０,-
多摩北部,立川市,Ｒ１＝４５,161
多摩北部,武蔵野市,Ｒ１＝５０,-
多摩北部,三鷹市,Ｒ１＝５０,164
多摩北部,府中市,Ｒ１＝６０,170
多摩北部,昭島市,Ｒ１＝５０,161
多摩北部,調布市,Ｒ１＝７０,164
多摩北部,小金井市,Ｒ１＝５０,167
多摩北部,小平市,Ｒ１＝４５,167
多摩北部,東村山市,Ｒ１＝４０,170
多摩北部,国分寺市,Ｒ１＝５０,170
多摩北部,国立市,Ｒ１＝７０,177
多摩北部,狛江市,Ｒ１＝６０,-
多摩北部,東大和市,Ｒ１＝５０,170
多摩北部,清瀬市,Ｒ１＝６０,167
多摩北部,東久留米市,Ｒ１＝４５,167
多摩北部,武蔵村山市,Ｒ１＝７０,131
多摩北部,西東京市,Ｒ１＝４０,167
多摩西部,青梅市,Ｒ１＝７０,151
多摩西部,福生市,Ｒ１＝７０,142
多摩西部,羽村市,Ｒ１＝７０,158
多摩西部,あきる野市,Ｒ１＝７０,142
多摩西部,瑞穂町,平坦地：Ｒ３＝９０平坦地以外：Ｒ３＝１２０,158
多摩西部,日の出町,Ｒ１＝７０,145
多摩西部,檜原村,Ｒ１＝７０,147
多摩西部,奥多摩町,Ｒ１＝７０,147
多摩南部,八王子市,Ｒ１＝６０,131
多摩南部,町田市,Ｒ１＝６０,134
多摩南部,日野市,Ｒ１＝５０,141
多摩南部,多摩市,Ｒ１＝５０,147
多摩南部,稲城市,Ｒ１＝５０,147
大島,大島町,Ｒ１＝７０,116
新島,利島村,Ｒ１＝８０,170
新島,新島村,Ｒ１＝６０,143
新島,神津島村,Ｒ１＝８０,151
八丈島,八丈町,Ｒ３＝１２０,162
八丈島,青ヶ島村,Ｒ１＝６０,153
三宅島,三宅村,Ｒ１＝６０,135
三宅島,御蔵島村,Ｒ１＝６０,184
小笠原諸島,小笠原村,Ｒ１＝７０,95
