資器材,容量（ｍ３、ｌ）,数量（台、基、個）,基本給水量（ｌ）,給水可能水量（ｌ）,給水可能人数（人）
給水車,4,1,4000,28000,9300
給水車,3.2,1,3200,22400,7400
給水車,2,12,24000,168000,56000
給水タンク,3,20,60000,420000,140000
給水タンク,2,39,78000,546000,182000
給水タンク,1,211,211000,1477000,492300
給水タンク,0.3,55,16500,115500,38500
給水タンク,その他,4,3600,25200,8400
角型ポリ容器,20,6119,122380,856660,285500
角型ポリ容器,10,2927,29270,204890,68200
合計,,,551950,3863650,1287600
