年,月日,種目,被害地域,主な被害（死者）,主な被害（死者・不明）,主な被害（不明）,主な被害（負傷）,主な被害（住家）,主な被害（浸水）,主な被害（耕地）（ｈａ）,主な被害（船舶）,主な被害（その他）
昭和20,9.17～18,風水害（枕崎台風）,西日本、特に広島,2473,,1283,2452,89839,273888,128403,,
昭和20,10.9～13,風水害（阿久根台風）,西日本、特に兵庫,377,,74,202,6181,174146,158893,,
昭和22,9.14～15,風水害（カスリーン台風）,東海以北,1077,,853,1547,9298,384743,12927,,
昭和23,9.11～12,水害（低気圧）,九州北部,121,,126,317,1263,2290,739,45,
昭和23,9.15～17,水害（アイオン台風）,四国～東北特に岩手,512,,326,1956,18017,120035,113427,435,
昭和24,6.20～23,風水害（デラ台風）,九州～東北特に愛媛,252,,216,367,5398,57553,80300,4242,
昭和24,8.15～19,風水害（ジュディス台風）,九州・四国,154,,25,213,2561,101994,104973,123,
昭和24,8.31～9.1,風水害（キティ台風）,中部～北海道,135,,25,479,17203,144060,48598,2907,
昭和25,8.3～6,水害（熱帯低気圧）,中部～東北,40,,59,764,376,32293,47722,,
昭和25,9.2～4,風水害（ジェーン台風）,四国以北特に大阪,336,,172,10930,56131,166605,85018,2752,
昭和25,9.12～14,風水害（キジア台風）,九州～中国,35,,8,75,4836,121924,90215,845,
昭和26,7.7～17,水害（前線）,中部以西特に京都,162,,114,358,1585,103298,139821,98,
昭和26,10.13～15,風水害（ルース台風）,全国特に山口,572,,371,2644,221118,138273,128517,9596,
昭和27,6.22～25,風水害（ダイナ台風）,関東以西,65,,70,28,425,39712,40924,178,
昭和27,7.7～18,水害（前線）,中国～東海,67,,73,101,664,161027,50184,23,
昭和28,6.4～8,風水害（台風第２号・前線）,九州～中部,37,,17,56,1802,33640,74353,139,
昭和28,6.25～29,水害（前線）,九州～中国特に熊本,748,,265,2720,34655,454643,269813,618,
昭和28,7.16～24,水害（南紀豪雨）,全国,713,,411,5819,10889,86479,98046,112,
昭和28,8.14～15,水害（前線）,東近畿,290,,139,994,1777,21517,11876,,
昭和28,9.24～26,風水害（台風第１３号）,全国、特に近畿,393,,85,2559,86398,495875,318657,5582,
昭和29,5.9～10,風害（低気圧）,東北～北海道,31,,330,,12359,23,73,348,
昭和29,7.4～6,水害（前線）,中国～近畿,33,,12,65,317,32645,36790,8,
昭和29,8.17～20,風水害（台風第５号）,九州・四国,28,,33,69,5442,32265,30476,191,
昭和29,9.10～14,風水害（台風第１２号）,関東以西,107,,39,311,39855,181380,61722,688,
昭和29,9.17～19,風水害（台風第１４号）,四国～東北,34,,20,41,422,43762,66645,126,
昭和29,9.25～27,風水害（洞爺丸台風）,全国,1361,,400,1601,207542,103533,82963,,大火
昭和30,7.3～8,水害（前線）,九州・北海道,17,,32,40,216,30218,47068,9,
昭和30,9.29～10.1,風水害（台風第２２号・大火）,全国（関東を除く）,54,,14,537,85554,51294,30271,1483,新潟市大火
昭和31,7.14～17,水害（前線）,東北・北陸,50,,10,37,708,31066,42608,22,
昭和31,8.16～18,風水害（台風第９号・火災）,全国,33,,3,213,37341,10431,11285,2700,大館市大火
昭和31,9.7～10,風水害（台風第１２号・火災）,沖縄～中部,41,,2,313,32044,11489,6729,994,魚津市大火
昭和32,6.27～28,風水害（台風第５号・前線）,九州～関東,30,,23,33,396,129673,21939,14,
昭和32,7.25～28,水害（諫早豪雨）,九州、特に長崎,856,,136,3860,6811,72565,43566,222,
昭和33,7.22～23,風水害（台風第１１号）,近畿以北,26,,14,64,1089,46243,27673,21,
昭和33,7.23～29,水害（前線）,四国～東北,22,,8,51,423,40874,45916,48,
昭和33,9.15～18,風水害（台風第２１号）,全国,25,,47,111,5648,48700,25630,226,
昭和33,9.26～28,風水害（狩野川台風）,近畿以北、特に静岡,888,,381,1138,16743,521715,89236,260,
昭和34,7.13～15,風水害（台風第５号・前線）,中部以西,44,,16,77,603,77288,32452,3,
昭和34,8.13～14,風水害（台風第７号・前線）,近畿～東北特に甲信,188,,47,1528,76199,148607,74169,111,
昭和34,9.15～18,風水害（宮古島台風）,全国（関東を除く）,47,,52,509,16632,14360,3566,778,
昭和34,9.26～27,風水害（伊勢湾台風）,全国（九州を除く）,4697,,401,38921,833965,363611,210859,7576,
昭和35,8.28～30,風水害（台風第１６号）,中部以西,50,,11,145,2265,45009,17195,120,
昭和36,6.24～7.10,水害（昭和３６年梅雨前線豪雨）,全国（北海道を除く）,302,,55,1320,8464,414362,340449,21,
昭和36,9.15～17,風水害（第２室戸台風）,全国、特に近畿,194,,8,4972,499444,384120,82850,2540,
昭和36,10.25～29,風水害（低気圧）,九州～中部,78,,36,86,819,60748,32190,186,
昭和37,7.1～9,水害（前線）,九州・東海,92,,10,82,395,91604,66113,5,
昭和39,7.17～19,水害（昭和３９年７月山陰北陸豪雨）,山陰～北陸特に島根,123,,5,291,2048,67517,46042,15,
昭和39,9.24～25,風水害（台風第２０号）,九州～東北,47,,9,530,71269,44751,16326,594,
昭和40,1.8～10,風雪害（低気圧・高波）,東北～北海道,1,,44,,320,1594,109,1759,
昭和40,8.4～6,風水害（台風第１５号）,九州～中国,28,,,368,58951,5716,5418,260,
昭和40,9.9～11,風水害（台風第２３号）,全国,67,,6,883,63436,49626,12353,619,
