項目１,項目２,ゆりかもめ,ひばり／はくちょう,ちどり,かもめ／つばめ,おおたか
機体,型式,ユーロコプター式ＥＣ２２５ＬＰ型スーパーピューマ,アエロスパシアル式ＡＳ３３２Ｌ１型スーパーピューマ,アエロスパシアル式ＡＳ３６５Ｎ２型ドーファンⅡ,アエロスパシアル式ＳＡ３６５Ｎ１型ドーファンⅡ,アエロスパシアル式ＡＳ３６５Ｎ３型ドーファンⅡ
性能,巡航速度（ｋｍ／ｈ）,260,240,220,220,220
性能,航続時間,３時間３０分,４時間,３時間２０分,３時間２０分,３時間２０分
性能,搭載能力（ｋｇ）,3100,1400,662,512,712
性能,座席数（乗員含む）（席）,23,はくちょう：２７／ひばり：２３,14,14,14
性能,最小離着陸面積（ｍ）,２４×２０,２３×１９,１７×１５,１７×１５,１７×１５
性能,ホバリング性能地面効果内（ｍ）,1800,3300,1950,1800,2400
性能,使用燃料,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１
性能,耐風制限（ｍ／ｓ）,25.7,33.4,28.3,28.3,28.3
性能,最小視程（ｍ）,1500,1500,1500,1500,1500
性能,最低雲高（ｍ）,300,300,300,300,300
洋上飛行最大航続距離（ｋｍ）,,947,960,726,726,726
夜間飛行の照明,サーチライト（ｗ）,1600,1600,1600,1600,1600
夜間飛行の照明,ライディングライト（ｗ）,６００×２,６００×２,４５０×２,４５０×１,４５０×２
消火装置,胴体下部取付け式（Ｌ）,2700,2000,900,900,900
消火装置,バケット式（Ｌ）,1500,1500,500,500,500
