区分１,区分２,性能諸元巡行速度（ｋｔ）,性能諸元航続時間（ｈ）,性能諸元搭載能力人,性能諸元搭載能力物資（Ｋｇ）,性能諸元搭載能力物資最大容積／高さ×幅×奥行き（Ｃｍ）,性能諸元離着陸場／所要面積／長さ×幅（ｍ）,性能諸元使用燃料
固定翼,ガルフⅤ,510,11:45,22,1136,７８×９０×９５,１７００×４５,ＪＥＴＡ－１
固定翼,ＹＳ－１１Ａ,180,7:10,26,2300,１６０×１００×８０,１２００×４５,ＪＥＴＡ－１
回転翼,スーパーピューマ,119,4:45,19,530,１３５×１３５×１６０,６０×６０,ＪＥＴＡ－１
回転翼,ベル２０６Ｂ,90,3:10,5,75,７０×４０×４０,３０×３０,ＪＥＴＡ－１
