車種別,台数
指揮用車,315
無線警ら車,1401
交通取締用自動二輪車,951
警備用自動二輪車,153
機動救助車（人員）,10
機動救助車（資材）,10
輸送車,472
クレーン・レッカー,38
ショベル車,21
災害用資材車,112
災害用広報車,10
多目的災害用車,10
水難救助車,3
山岳救助車,3
災害用投光車,2
衛星通信車,1
給水車,4
