島別,海岸名,全体計画護岸等（ｍ）,全体計画人工リーフ（ｍ）,実施計画（１８）護岸等（ｍ）,実施計画（１８）人工リーフ（ｍ）
伊豆大島,泉浜,5400,0,0,0
伊豆大島,湯の浜,2900,340,0,0
伊豆大島,間伏,0,300,0,0
伊豆大島,筆島,1650,290,0,0
伊豆大島,行者,2120,0,0,0
利島,前浜,520,0,15,0
新島,羽伏浦,5350,0,0,0
新島,和田浜,30,750,0,0
新島,若郷,580,0,230,0
神津島,多幸浜,1930,0,0,0
神津島,沢尻・長浜,270,620,0,26
三宅島,阿古,230,0,25,0
三宅島,ナゴラ,660,420,0,0
御蔵島,御蔵,680,0,0,0
八丈島,乙千代ヶ浜,750,620,0,0
八丈島,洞輪沢,260,0,20,0
その他,,16530,0,0,0
計,,39860,3340,290,26
