区分１,区分２,東京湾北部地震（Ｍ７．３）重量（万ｔ）,東京湾北部地震（Ｍ７．３）体積（万ｍ３）,多摩直下地震（Ｍ７．３）重量（万ｔ）,多摩直下地震（Ｍ７．３）体積（万ｍ３）,元禄型関東地震（Ｍ８．２）重量（万ｔ）,元禄型関東地震（Ｍ８．２）体積（万ｍ３）,立川断層帯地震（Ｍ７．４）重量（万ｔ）,立川断層帯地震（Ｍ７．４）体積（万ｍ３）
東京都,,4289,5125,3121,3771,3121,3825,1166,1412
東京都,区部,4049,4807,2071,2465,2421,2928,87,104
東京都,多摩,241,318,1050,1306,700,896,1080,1308
