島名１,島名２,港名,種類,施設名,規模（ｍ）
伊豆諸島,大島,元町,1,防波堤,508
伊豆諸島,大島,元町,1,岸壁,187
伊豆諸島,大島,岡田,1,防波堤,305
伊豆諸島,大島,岡田,1,岸壁,284
伊豆諸島,大島,野増,1,防波堤,349
伊豆諸島,大島,野増,1,岸壁,140
伊豆諸島,大島,差木地,1,防波堤,255
伊豆諸島,大島,差木地,1,岸壁,111
伊豆諸島,大島,泉津,1,防波堤,149
伊豆諸島,大島,泉津,1,岸壁,90
伊豆諸島,新島,若郷,1,防波堤,836
伊豆諸島,新島,若郷,1,岸壁,465
伊豆諸島,新島,羽伏,1,防波堤,357
伊豆諸島,新島,羽伏,1,岸壁,376
伊豆諸島,式根島,野伏,1,防波堤,203
伊豆諸島,式根島,野伏,1,岸壁,575
伊豆諸島,式根島,小浜,1,防波堤,111
伊豆諸島,式根島,小浜,1,岸壁・物揚場,203
伊豆諸島,神津島,三浦,4,防波堤,673
伊豆諸島,神津島,三浦,4,岸壁,729
伊豆諸島,三宅島,湯の浜,1,防波堤,252
伊豆諸島,三宅島,湯の浜,1,岸壁,210
伊豆諸島,三宅島,伊ヶ谷,1,防波堤,240
伊豆諸島,三宅島,伊ヶ谷,1,岸壁・物揚場,298
伊豆諸島,三宅島,大久保,1,防波堤,357
伊豆諸島,三宅島,大久保,1,物揚場,101
伊豆諸島,三宅島,坪田,1,防波堤,638
伊豆諸島,三宅島,坪田,1,岸壁・物揚場,435
伊豆諸島,三宅島,阿古,4,防波堤,202
伊豆諸島,三宅島,阿古,4,岸壁,1060
伊豆諸島,八丈島,洞輪沢,1,防波堤,544
伊豆諸島,八丈島,洞輪沢,1,岸壁,229
伊豆諸島,八丈島,中之郷,1,防波堤,251
伊豆諸島,八丈島,中之郷,1,岸壁,105
伊豆諸島,八丈島,神湊,4,防波堤,538
伊豆諸島,八丈島,神湊,4,岸壁,921
伊豆諸島,八丈島,八重根,4,防波堤,630
伊豆諸島,八丈島,八重根,4,岸壁,752
小笠原諸島,父島,二見,4,防波堤,417
小笠原諸島,父島,二見,4,岸壁・物揚場,717
小笠原諸島,母島,母島,4,防波堤,293
