区分,国指定文化財,国指定文化財数,都指定文化財,都指定文化財数
建造物,国宝,2,都指定有形文化財,60
建造物,重要文化財,74,,
美術工芸品等,国宝,274,都指定有形文化財,275
美術工芸品等,重要文化財,2657,都指定無形文化財,8
美術工芸品等,重要無形文化財,46,,
美術工芸品等,重要有形民俗文化財,8,都指定有形民俗文化財,17
美術工芸品等,重要無形民俗文化財,6,都指定無形民俗文化財,55
美術工芸品等,選定保存技術,12,都指定無形民俗文化財,55
史跡・名勝・天然記念物,特別史跡名勝天然記念物,5,都指定史跡,104
史跡・名勝・天然記念物,史跡名勝天然記念物,69,都指定旧跡,222
,,,都指定天然記念物、名勝,72
小計,,3153,,813
計,3966,,,
