品目,都,区,市町村,合計
毛布（千枚）,889,1521,432,2842
敷物（千枚）,981,933,181,2095
コンロ（千個）,21,,,21
木炭（千袋）,27,,,27
肌着（千組）,288,305,82,675
簡易トイレ（千個）,9,322,65,396
鍋・やかん（千個）,32,,,32
簡易風呂（個）,30,,,30
