対象物の用途１,対象物の用途２,対象物の用途３,件数（棟）
（一）,イ,劇場等,121
（一）,ロ,公会堂等,52
（二）,イ,キャバレー等,38
（二）,ロ,遊技場等,821
（二）,ハ,待合等,24
（三）,イ,待合等,137
（三）,ロ,飲食店,5189
（四）,,百貨店,5001
（五）,イ,旅館等,1936
（五）,ロ,寄宿舎等,110767
（六）,イ,病院等,2320
（六）,ロ,老人福祉施設等,3408
（六）,ハ,幼稚園等,1368
（七）,,学校等,8445
（八）,,図書館,335
（九）,イ,特殊浴場等,183
（九）,ロ,公衆浴場,670
（十）,,停車場等,564
（十一）,,神社等,3054
（十二）,イ,工場等,9327
（十二）,ロ,スタジオ等,65
（十三）,イ,車庫等,2506
（十三）,ロ,格納庫等,30
（十四）,,倉庫,6641
（十五）,,その他の事業所,33159
（十六）,イ,特定用途の複合,48576
（十六）,ロ,上記以外の複合,48076
（十六）の二,,地下街,14
（十六）の三,,準地下街,2
（十七）,,文化財,364
（十八）,,アーケード,61
合計,,,293254
