名称,特徴,備蓄量等区市町村,備蓄量等都
マンホール設置型トイレ（基）,公園等の一部施設において、マンホール上に設置し直接汚水を流せるようにしたもの、地中に便槽を埋設したもの,7062,1523
便槽付トイレ（基）,主に工事現場やイベント等で利用されているトイレで、便槽に貯留し汲み取りするもの,10168,-
簡易トイレ（基）,室内に設置可能な小型で持ち運びのできるトイレで、し尿を貯留するタイプのもの,47623,9690
その他（基）,上記以外のもの（自動ラップ式、マンホール・便槽併用型）,1198,-
その他（枚）,上記以外のもの（排便収納袋）,1647502,-
