島名,都設置機器,都設置機器数,気象庁設置機器,気象庁設置機器数,東京大学地震研究所設置機器,東京大学地震研究所設置機器数,防災科学技術研究所設置機器,防災科学技術研究所設置機器数,他の国の機関,町・村設置機器,町・村設置機器数
伊豆大島,,,【常時観測】・地震計,6,・地震計,26,・地震計,4,地質調査所、国土地理院、海上保安庁が地殻変動観測、水準測定等の観測を実施している。,・震度計,1
伊豆大島,,,【常時観測】・震度計,2,・傾斜計,4,・傾斜計,4,,,
伊豆大島,,,【常時観測】・傾斜計,4,・全磁力計,11,・地磁気計,3,,,
伊豆大島,,,【常時観測】・ＧＰＳ,11,・ＧＰＳ,14,・歪計,1,,,
伊豆大島,,,（内気象研究所８）・空振計,3,・潮位計,3,・電磁気観測,3,,,
伊豆大島,,,（内気象研究所８）・磁力計,2,・傾斜・歪計,4,・潮位計,1,,,
伊豆大島,,,（内気象研究所８）・光波測距計,26,・電磁気観測,6,・温度計,4,,,
伊豆大島,,,（機器点・反射点）・遠望観測装置,1,・地中温度計,1,・雨量計,4,,,
伊豆大島,,,（機器点・反射点）・歪計,1,・ＣＯ２土壌ガス,1,・気圧計,1,,,
伊豆大島,,,遠望観測毎日,,,,・風速計,1,,,
伊豆大島,,,,,,,・重力計,1,,,
伊豆大島,,,,,,,・水位計,1,,,
伊豆大島,,,,,,,・地中電界変動計,1,,,
利島,・地震計,1,,,,,,,,,
新島,・地震計,3,・地震計,2,,,・地震計,,,・震度計,1
新島,・震度計,1,・空振計,1,,,,,,,
新島,,,・ＧＰＳ,1,,,,,,,
新島,,,・傾斜計,1,,,,,,,
式根島,・地震計,1,・地震計,1,,,,,,,
式根島,・震度計,1,・震度計,1,,,,,,,
式根島,,,・空振計,1,,,,,,,
式根島,,,・傾斜計,1,,,,,,,
神津島,・地震計,3,・地震計,1,・地震計,1,・地震計,1,,,
神津島,・震度計,1,・震度計,1,,,・傾斜計,2,,,
神津島,,,・空振計,1,,,・歪計,1,,,
神津島,,,・傾斜計,1,,,,,,,
神津島,,,・ＧＰＳ,1,,,,,,,
神津島,,,・磁力計,1,,,,,,,
三宅島,・地震計,5,・地震計,7,・全磁力計,6,・地震計,7,,・震度計,1
三宅島,・傾斜計,2,・空振計,5,,,・傾斜計,5,,,
三宅島,・水位・水温計,3,・ＧＰＳ,7,,,・ＧＰＳ,4,,,
三宅島,,,・震度計,2,,,・雨量計,1,,,
三宅島,,,・遠望カメラ,4,,,・気圧計,2,,,
三宅島,,,・全磁力計,5,,,・磁力計,2,,,
御蔵島,・地震計,1,,,,,,,,,
御蔵島,・震度計,1,,,,,,,,,
八丈島,・地震計,5,・地震計,1,,,,,,・震度計,1
八丈島,・傾斜計,1,・震度計,1,,,,,,,
青ヶ島,・地震計,4,,,,,,,,,
青ヶ島,・地熱計,3,,,,,,,,,
