部隊名,艦艇護衛艦（隻）,艦艇掃海艇（艦）（隻）,艦艇輸送艦（隻）,艦艇その他（隻）,航空機哨戒機（機）,航空機ヘリコプターＳＨ－６０Ｊ／Ｋ（機）,航空機ヘリコプターＣＨ－１０１（機）,航空機輸送機（機）
自衛艦隊等,11,3,0,9,約１０,約２０,,2
横須賀地方隊,,3,0,5,,,2,
合計,11,6,0,14,約１０,約２０,2,2
人員輸送能力（１隻（機）当り）（人）,約４００～２２００,約１００,約８５０,約５０～８５０,8,4,約２０,約４０
物資搭載能力（１隻（機）当り）（ｔ）,約７０～２０００,約１５,約２０００,約１５～３００,約２,約１,約２,約３
