種別,区（２３）既整備,区（２３）未整備,区（２３）整備率（％）,市町村（３９）既整備,市町村（３９）未整備,市町村（３９）整備率（％）
防災行政無線（固定局）,23,0,100,38,1,97.4
防災行政無線（移動局）・地域防災無線,23,0,100,36,3,92.3
