番号,施設名称,所在地,区市町村,所管局
1,千代田都税事務所,千代田区内神田２－１－１２,千代田区,主税局
2,東京国際フォーラム,千代田区丸の内３－５－１,千代田区,産業労働局
3,東京都中小企業振興公社,千代田区神田佐久間町１－９　東京都産業労働局秋葉原庁舎,千代田区,産業労働局
4,東京しごとセンター,千代田区飯田橋３－１０－３,千代田区,産業労働局
5,日比谷グリーンサロン,千代田区日比谷公園１－５,千代田区,建設局
6,「緑と水」の市民カレッジ,千代田区日比谷公園１－５,千代田区,建設局
7,一橋高等学校,千代田区東神田１－１２－１３,千代田区,教育庁
8,日比谷高等学校,千代田区永田町２－１６－１,千代田区,教育庁
9,スクワール麹町,千代田区麹町６－６,千代田区,東京消防庁
10,東京交通会館,千代田区有楽町２－１０－１,千代田区,交通局
11,東京舞台芸術活動支援センター,中央区日本橋箱崎町１８－１４,中央区,生活文化局
12,築地市場,中央区築地５－２－１,中央区,中央卸売市場
13,晴海総合高等学校,中央区晴海１－２－１,中央区,教育庁
14,計量検定所,港区海岸１－７－４,港区,生活文化局
15,島しょ農林水産総合センター,港区海岸２－７－１０４,港区,産業労働局
16,産業貿易センター浜松町館,港区海岸１－７－８,港区,産業労働局
17,東京港建設事務所,港区港南３－９－５６,港区,港湾局
18,台場フロンティアビル,港区台場２－３－２,港区,港湾局
19,ニューピア竹芝ノースタワー（ニューピアホール）,港区海岸１－１１－１,港区,港湾局
20,三田高等学校,港区三田１－４－４６,港区,教育庁
21,芝商業高等学校,港区海岸１－８－２５,港区,教育庁
22,六本木高等学校,港区六本木６－１６－３６,港区,教育庁
23,東京都立中央図書館,港区南麻布５－７－１３,港区,教育庁
24,ホテルアジュール竹芝,港区海岸１－１１－２,港区,東京都職員共済組合
25,中央・城北職業能力開発センター,文京区後楽１－９－５,文京区,産業労働局
26,小石川中等教育学校,文京区本駒込２－２９－２９,文京区,教育庁
27,教職員研修センター,文京区本郷１－３－３,文京区,教育庁
28,竹早高等学校,文京区小石川４－２－１,文京区,教育庁
29,向丘高等学校,文京区向丘１－１１－１８,文京区,教育庁
30,工芸高等学校,文京区本郷１－３－９,文京区,教育庁
31,台東都税事務所,台東区雷門１－６－１,台東区,主税局
32,東京都美術館,台東区上野公園８－３６,台東区,生活文化局
33,東京文化会館,台東区上野公園５番４５号,台東区,生活文化局
34,産業貿易センター台東館,台東区花川戸２－６－５,台東区,産業労働局
35,上野グリーンサロン,台東区上野公園７－４７,台東区,建設局
36,浅草高等学校,台東区今戸１－８－１３,台東区,教育庁
37,忍岡高等学校,台東区浅草橋５－１－２４,台東区,教育庁
38,蔵前工業高等学校,台東区蔵前１－３－５７,台東区,教育庁
39,上野高等学校,台東区上野公園１０－１４,台東区,教育庁
40,白鴎高等学校,台東区元浅草１－６－２２,台東区,教育庁
41,東京都江戸東京博物館,墨田区横網１－４－１,墨田区,生活文化局
42,皮革技術センター,墨田区東墨田３－３－１４,墨田区,産業労働局
43,墨田川高等学校,墨田区東向島３－３４－１４,墨田区,教育庁
44,両国高等学校,墨田区江東橋１－７－１４,墨田区,教育庁
45,本所高等学校,墨田区向島３－３７－２５,墨田区,教育庁
46,橘高等学校,墨田区立花４－２９－７,墨田区,教育庁
47,日本橋高等学校,墨田区八広１－２８－２１,墨田区,教育庁
48,本所都民防災教育センター,墨田区横川４－６－６,墨田区,東京消防庁
49,江東都税事務所,江東区大島３－１－３,江東区,主税局
50,東京都現代美術館,江東区三好４－１－１,江東区,生活文化局
51,有明テニスの森公園テニス施設,江東区有明２－２－２２,江東区,オリンピック・パラリンピック準備局
52,東京辰巳国際水泳場,江東区辰巳２－８－１０,江東区,オリンピック・パラリンピック準備局
53,若洲海浜公園ヨット訓練所,江東区若洲３－１－１,江東区,オリンピック・パラリンピック準備局
54,城東職業能力開発センター,江東区亀戸９－６－２７,江東区,産業労働局
55,東京国際展示場,江東区有明３－１１－１,江東区,産業労働局
56,タイム２４ビル,江東区青海２－４－３２,江東区,産業労働局
57,ＴＦＴビル,江東区有明３－６－１１,江東区,産業労働局
58,有明パークビル,江東区有明３－７－１１,江東区,産業労働局
59,産業技術研究センター本部,江東区青海２－４－１０,江東区,産業労働局
60,テレコムセンタービル,江東区青海２－５－１０,江東区,港湾局
61,有明フロンティアビル,江東区有明３－７－２６,江東区,港湾局
62,深川高等学校,江東区東陽５－３２－１９,江東区,教育庁
63,墨田工業高等学校,江東区森下５－１－７,江東区,教育庁
64,大江戸高等学校,江東区千石３－２－１１,江東区,教育庁
65,城東高等学校,江東区大島３－２２－１,江東区,教育庁
66,東高等学校,江東区東砂７－１９－２４,江東区,教育庁
67,科学技術高等学校,江東区大島１－２－３１,江東区,教育庁
68,江東商業高等学校,江東区亀戸４－５０－１,江東区,教育庁
69,第三商業高等学校,江東区越中島３－３－１,江東区,教育庁
70,東京都庁第一本庁舎,新宿区西新宿２－８－１,新宿区,総務局
71,東京都庁第二本庁舎,新宿区西新宿２－８－１,新宿区,総務局
72,東京都議会議事堂,新宿区西新宿２－８－１,新宿区,総務局
73,新宿都税事務所,新宿区西新宿７－５－８,新宿区,主税局
74,淀橋市場,新宿区北新宿４－２－１,新宿区,中央卸売市場
75,戸山高等学校,新宿区戸山３－１９－１,新宿区,教育庁
76,新宿高等学校,新宿区内藤町１１－４,新宿区,教育庁
77,総合芸術高等学校,新宿区富久町２２－１,新宿区,教育庁
78,新宿山吹高等学校,新宿区山吹町８１,新宿区,教育庁
79,消防博物館,新宿区四谷３－１０,新宿区,東京消防庁
80,東京ウィメンズプラザ,渋谷区神宮前５－５３－６７,渋谷区,生活文化局
81,東京体育館,渋谷区千駄ヶ谷１－１７－１,渋谷区,オリンピック・パラリンピック準備局
82,青山高等学校,渋谷区神宮前２－１－８,渋谷区,教育庁
83,広尾高等学校,渋谷区東４－１４－１４,渋谷区,教育庁
84,第一商業高等学校,渋谷区鉢山町８－１,渋谷区,教育庁
85,東京消防庁消防学校,渋谷区西原２－５１－１,渋谷区,東京消防庁
86,中野都税事務所,中野区中野４－６－１５,中野区,主税局
87,武蔵丘高等学校,中野区上鷺宮２－１４－１,中野区,教育庁
88,稔ヶ丘高等学校,中野区上鷺宮５－１１－１,中野区,教育庁
89,富士高等学校,中野区弥生町５－２１－１,中野区,教育庁
90,中野工業高等学校,中野区野方３－５－５,中野区,教育庁
91,鷺宮高等学校,中野区若宮３－４６－８,中野区,教育庁
92,杉並高等学校,杉並区成田西４－１５－１５,杉並区,教育庁
93,荻窪高等学校,杉並区荻窪５－７－２０,杉並区,教育庁
94,豊多摩高等学校,杉並区成田西２－６－１８,杉並区,教育庁
95,西高等学校,杉並区宮前４－２１－３２,杉並区,教育庁
96,農芸高等学校,杉並区今川３－２５－１,杉並区,教育庁
97,杉並工業高等学校,杉並区上井草４－１３－３１,杉並区,教育庁
98,杉並総合高等学校,杉並区下高井戸５－１７－１,杉並区,教育庁
99,都立産業技術高等専門学校品川キャンパス,品川区東大井１－１０－４０,品川区,総務局
100,城南職業能力開発センター,品川区東品川３－３１－１６,品川区,産業労働局
