機関名,保有数,備考
建設局,25,水上バス、指揮艇、清掃船
港湾局,30,監視艇、指揮艇、清掃船ほか／平成２６年４月１日現在
警視庁,338,警備艇、救命ボート
東京消防庁,253,消防艇（９）、救命ボート（２４）／平成２６年４月１日現在
合計,646,
