市町村等をまとめた地域,市町村等,雨量基準,土壌雨量指数基準,複合基準,指定河川洪水予報による基準
２３区西部,千代田区,Ｒ３＝１００,-,-,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区西部,中央区,Ｒ１＝７０,隅田川流域４０,-,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区西部,港区,平坦地：Ｒ３＝１００平坦地以外：Ｒ１＝６０,-,-,渋谷川・古川［渋谷橋・四ノ橋］
２３区西部,新宿区,Ｒ１＝４０,-,Ｒ１＝３０かつ神田川流域１４,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区西部,文京区,Ｒ１＝４０,-,-,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区西部,品川区,Ｒ１＝４５,-,-,目黒川［青葉台・荏原調節池上］
２３区西部,目黒区,Ｒ１＝５０,-,-,目黒川［青葉台・荏原調節池上］
２３区西部,大田区,Ｒ１＝５０,-,平坦地：Ｒ１＝２５かつ多摩川流域３５,多摩川［田園調布（上）］
２３区西部,世田谷区,Ｒ１＝６０,野川流域２０、仙川流域１２、烏山川流域６,-,多摩川［調布橋・石原・田園調布（上）］
２３区西部,渋谷区,Ｒ１＝５０,-,-,渋谷川・古川［渋谷橋・四ノ橋］神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区西部,中野区,Ｒ１＝４０,妙正寺川流域８,Ｒ１＝３０かつ神田川流域９,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区西部,杉並区,Ｒ１＝６０,妙正寺川流域９、善福寺川流域１１,Ｒ１＝４５かつ神田川流域９,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区西部,豊島区,Ｒ１＝５０,-,-,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区西部,北区,Ｒ３＝７０,隅田川流域３５新河岸川流域３４石神井川流域２１,Ｒ３＝６０かつ荒川流域４６,荒川［治水橋・岩淵水門（上）］
２３区西部,板橋区,Ｒ１＝４５,新河岸川流域３４石神井川流域１３,-,荒川［治水橋・岩淵水門（上）］
２３区西部,練馬区,Ｒ１＝６０,石神井川流域１８,-,-
２３区東部,台東区,Ｒ１＝５０,隅田川流域３７,Ｒ１＝３０かつ隅田川流１６,荒川［岩淵水門（上）］神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
２３区東部,墨田区,Ｒ１＝６０,隅田川流域３７,-,荒川［岩淵水門（上）］
２３区東部,江東区,平坦地：Ｒ３＝１１０平坦地以外：Ｒ１＝６０,隅田川流域４０,-,荒川［岩淵水門（上）］
２３区東部,荒川区,Ｒ１＝５０,隅田川流域３７,-,荒川［岩淵水門（上）］
２３区東部,足立区,Ｒ１＝６０,綾瀬川流域２１、隅田川流域３７,-,中川［吉川］、綾瀬川（谷古宇区間）［谷古宇］、芝川・新芝川［青木水門］、江戸川［野田］、荒川［岩淵水門（上）］
２３区東部,葛飾区,Ｒ１＝５０,中川流域３３、綾瀬川流域２１,-,中川［吉川］、綾瀬川（谷古宇区間）［谷古宇］、芝川・新芝川［青木水門］、江戸川［野田］、荒川［岩淵水門（上）］
２３区東部,江戸川区,平坦地：Ｒ１＝６０平坦地以外：Ｒ３＝１１０,-,-,江戸川［野田］、荒川［岩淵水門（上）］
多摩北部,立川市,Ｒ１＝４５,残堀川流域１５,-,多摩川［調布橋］
多摩北部,武蔵野市,Ｒ１＝５０,仙川流域１２,-,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
多摩北部,三鷹市,Ｒ１＝５０,仙川流域１２、野川流域１５,-,神田川［番屋橋・和田見橋・南小滝橋・飯田橋］
多摩北部,府中市,Ｒ１＝６０,-,-,多摩川［調布橋・石原］
多摩北部,昭島市,Ｒ１＝５０,残堀川流域１１,-,多摩川［調布橋］
多摩北部,調布市,Ｒ１＝７０,野川流域１６,-,多摩川［調布橋・石原］
多摩北部,小金井市,Ｒ１＝５０,仙川流域１２、野川流域１３,-,-
多摩北部,小平市,Ｒ１＝４５,-,-,-
多摩北部,東村山市,Ｒ１＝４０,空堀川流域１７、柳瀬川流域１１,-,-
多摩北部,国分寺市,Ｒ１＝５０,-,-,-
多摩北部,国立市,Ｒ１＝７０,-,-,多摩川［調布橋］
多摩北部,狛江市,Ｒ１＝６０,野川流域２０,-,多摩川［調布橋・石原・田園調布（上）］
多摩北部,東大和市,Ｒ１＝５０,空堀川流域１２,-,-
多摩北部,清瀬市,Ｒ１＝６０,空堀川流域１７、柳瀬川流域２２,-,-
多摩北部,東久留米市,Ｒ１＝４５,黒目川流域７,-,-
多摩北部,武蔵村山市,Ｒ１＝７０,空堀川流域１１、残堀川流域９,-,-
多摩北部,西東京市,Ｒ１＝４０,石神井川流域６,-,-
多摩西部,青梅市,Ｒ１＝７０,成木川流域１５,-,多摩川［調布橋］
多摩西部,福生市,Ｒ１＝７０,-,-,多摩川［調布橋］
多摩西部,羽村市,Ｒ１＝７０,-,-,多摩川［調布橋］
多摩西部,あきる野市,Ｒ１＝７０,秋川流域３２、平井川流域１４,-,多摩川［調布橋］
多摩西部,瑞穂町,平坦地：Ｒ３＝９０平坦地以外：Ｒ３＝１２０,-,-,-
多摩西部,日の出町,Ｒ１＝７０,平井川流域１３,-,-
多摩西部,檜原村,Ｒ１＝７０,秋川流域３０、北秋川流域１１,-,-
多摩西部,奥多摩町,Ｒ１＝７０,多摩川流域３９,-,-
多摩南部,八王子市,Ｒ１＝６０,谷地川流域１２、大栗川流域１７、秋川流域３２,平坦地：Ｒ１＝５０かつ多摩川流域２４,多摩川［調布橋］、浅川［浅川橋］
多摩南部,町田市,Ｒ１＝６０,境川流域１８、鶴見川流域１５、恩田川流域１０,-,-
