種別,全都移動島しょ系（１５０ＭＨｚ）伊豆諸島,全都移動島しょ系（１５０ＭＨｚ）小笠原,全都移動島しょ系（１５０ＭＨｚ）都内,全都移動島しょ系（１５０ＭＨｚ）小計,全都移動都内系（２６０ＭＨｚ）都内,全都移動都内系（２６０ＭＨｚ）小計,携帯局,可搬ＭＣＡ,移動多重
基地局,7,2,-,9,8,8,9,14,4
車載,35,12,-,47,62,62,-,-,2
可搬,37,10,5,52,50,50,-,76,-
携帯,31,10,5,46,210,210,7,-,-
小計,103,32,10,145,322,322,7,76,2
計,110,34,10,154,330,330,16,76,6
