適用条項,事業名,都関係局名,備考
第３条,１公共土木施設災害復旧事業,建設局,河川、海岸、砂防設備、道路
第３条,１公共土木施設災害復旧事業,港湾局,港湾、漁港
第３条,１公共土木施設災害復旧事業,産業労働局,林地荒廃防止施設、漁港
第３条,２公共土木施設災害関連事業,建設局,河川、海岸、砂防設備、道路
第３条,２公共土木施設災害関連事業,港湾局,港湾、漁港
第３条,２公共土木施設災害関連事業,産業労働局,林地荒廃防止施設、漁港
第３条,３公立学校施設災害復旧事業,教育庁,
第３条,４公営住宅施設災害復旧事業,都市整備局,
第３条,５生活保護施設災害復旧事業,福祉保健局,
第３条,６児童福祉施設災害復旧事業,福祉保健局,
第３条,７老人福祉施設災害復旧事業,福祉保健局,
第３条,８身体障害者社会参加支援施設災害復旧事業,福祉保健局,
第３条,９障害者支援施設、地域活動支援センター、福祉ホーム、又は障害福祉サービス事業の用に供する施設の災害復旧事業,福祉保健局,
第３条,１０婦人保護施設災害復旧事業,福祉保健局,
第３条及び第１９条,１１感染症予防事業,福祉保健局,
第３条及び第１９条,１２感染症指定医療機関災害復旧事業,福祉保健局,
第３条及び第９条,１３堆積土砂排除事業,建設局,河川、道路、公園、緑地、運河、溝渠、広場、その他の施設
第３条及び第９条,１３堆積土砂排除事業,下水道局,公共下水道、都市下水路
第３条及び第９条,１３堆積土砂排除事業,港湾局,林業用施設（貯木場等）
第３条及び第９条,１３堆積土砂排除事業,産業労働局,林業用施設、漁場
第３条及び第９条,１３堆積土砂排除事業,都市整備局,
第３条及び第９条,１３堆積土砂排除事業,総務局,上記の施設の区域外
第３条及び第１０条,１４湛水排除事業,建設局,
第３条及び第１０条,１４湛水排除事業,下水道局,
第３条及び第１０条,１４湛水排除事業,港湾局,
第３条及び第１０条,１４湛水排除事業,産業労働局,
第５条,１５農地、農業用施設若しくは林道の災害復旧事業又は当該農業用施設若しくは林道の災害復旧事業に係る災害関連事業,産業労働局,
第５条及び第６条,１６農林水産業共同利用施設災害復旧事業,産業労働局,
第７条,１７開拓者等の施設の災害復旧事業,産業労働局,
第８条,１８天災による被害農林漁業者等に対する資金の融資に関する暫定措置,産業労働局,
第１１条,１９共同利用小型漁船の建造費の補助,産業労働局,
第１２条,２０中小企業信用保険法による災害関係保証の特例,産業労働局,
第１３条,２１小規模企業者等設備導入資金助成法による貸付金の償還期間の特例,産業労働局,
第１４条,２２事業協同組合等の施設の災害復旧事業,産業労働局,
第１６条,２４公立社会教育施設災害復旧事業,教育庁,
第１７条,２５私立学校施設の災害復旧事業,生活文化局,
第２０条,２６母子及び寡婦福祉法による国の貸付の特例,福祉保健局,
第２１条,２７水防資材費の補助の特例,建設局,
第２２条,２８り災者公営住宅建設事業に対する補助の特例,都市整備局,
第２４条,３０公共土木施設、農地及び農業用施設又は林道等小災害に係る地方債の元利償還金の交付税の基準財政需用額への算入,建設局,公共土木施設
第２４条,３０公共土木施設、農地及び農業用施設又は林道等小災害に係る地方債の元利償還金の交付税の基準財政需用額への算入,教育庁,公立学校
第２４条,３０公共土木施設、農地及び農業用施設又は林道等小災害に係る地方債の元利償還金の交付税の基準財政需用額への算入,産業労働局,農地及び農業用地
第２４条,３０公共土木施設、農地及び農業用施設又は林道等小災害に係る地方債の元利償還金の交付税の基準財政需用額への算入,財務局,地方債の発行及び交付税算定
