名称,所在地
京浜トラックターミナル,東京都大田区平和島二丁目１番１号
板橋トラックターミナル,東京都板橋区高島平六丁目１番１号
足立トラックターミナル,東京都足立区入谷六丁目１番１号
葛西トラックターミナル,東京都江戸川区臨海町四丁目３番１号
