区分,資金の種類１,資金の種類２,融資対象となる事業,貸付けの相手方,利率（年利）（％）,償還期間（年以内）,償還期間のうち据置期間（年以内）
農業関係資金,農業基盤整備資金,,農地若しくは牧野の保全又は利用上必要な施設の災害復旧,農業を営む者、土地改良区・同連合会、農協・同連合会等,災害０．４０～１．００,25,10
農業関係資金,農林漁業施設資金,,＜災害復旧＞農業施設等の復旧、果樹の改植又は補植,農業を営む者、農協・同連合会,災害０．４０～１．００,１５以内（果樹の改植又は補植は２５以内）,３以内（果樹の改植又は補植は１０以内）
林業関係資金,林業基盤整備資金,造林,樹苗養成施設の復旧,樹苗養成の事業を営む者、森林組合・同連合会、農協、中小企業等協同組合,災害０．４０～０．８５,15,5
林業関係資金,林業基盤整備資金,造林,激甚災害による被害造林地の復旧（補助事業）,林業を営む者、森林組合・同連合会、農協,災害０．４０～１．００,30,20
林業関係資金,林業基盤整備資金,林道,林道の復旧,林業を営む者、森林組合・同連合会、農協、中小企業等協同組合,災害０．４０～１．００,20,3
林業関係資金,農林漁業施設資金,,＜主務大臣指定施設＞林業用施設等の復旧,林業を営む者,災害０．４０～１．００,15,3
漁業関係資金漁業関係資金,漁業基盤整備資金,,漁港に係る防波堤等の復旧,漁協、漁連、水産加工協、水産加工協連、漁業を営む者,災害０．４０～１．００,20,3
漁業関係資金漁業関係資金,漁業基盤整備資金,,漁場、水産種苗生産施設の復旧,漁協、漁連,災害０．４０～１．００,20,3
漁業関係資金漁業関係資金,漁船資金,,漁船の復旧（原則２０トン以上）,漁業を営む個人・法人・漁協,災害０．４０～０．８５,12,2
漁業関係資金漁業関係資金,農林漁業施設資金,,＜主務大臣指定施設＞漁具、内水面養殖施設、海面養殖施設、漁船漁業用施設、の復旧及び漁船の復旧,漁業を営む者,災害０．４０～１．００,15,3
共通,農林漁業セーフティネット資金,,災害により被害を受けた経営の再建に必要な資金（原則として天災）,農林漁業者,災害０．４０～０．５５,10,3
共通,農林漁業施設資金,,＜共同利用施設＞農林水産物の生産、流通、加工、販売に必要な共同利用施設及びその他共同利用施設の復旧,農協・同連合会、土地改良区・同連合会、森林組合・同連合会、中小企業等協同組合、水産業協同組合、５割法人・団体、農林漁業振興法人、農業共済会・同連合会,災害０．４０～１．００,20,3
