団体名,区市町村防災行政無線固定局屋外（局）,区市町村防災行政無線固定局戸別（局）,区市町村防災行政無線移動局（局）,地域防災無線（局）
瑞穂町,49,43,41,
日の出町,38,900,76,-
檜原村,32,1150,54,-
奥多摩町,5,3030,39,-
多摩町村計,124,5123,210,0
大島町,80,-,51,-
利島村,4,165,5,28
新島村,31,1700,0,-
神津島村,22,863,8,-
三宅村,44,1695,44,-
御蔵島村,-,-,-,6
八丈町,40,4464,10,-
青ヶ島村,12,-,10,-
小笠原村,20,1410,-,-
島しょ町村計,253,10297,128,34
