種別１,種別２,呼出名称,周波数帯（ＭＨｚ）,電波の形式,空中線電力（Ｗ）,設置場所（常置場所）
基地局,,とうきょう　たかしお,150,Ｆ３Ｅ,10,高潮対策センター
基地局,移動局,とうきょう　たかしお　６１、６２,150,Ｆ３Ｅ,10,高潮対策センター（車載）
基地局,,たかしお　たつみ,150,Ｆ３Ｅ,1,辰巳サブセンター
基地局,移動局,とうきょう　たかしお　１１～１６,150,Ｆ３Ｅ,1,辰巳サブセンター
基地局,,たかしお　つくだ,150,Ｆ３Ｅ,1,佃サブセンター
基地局,移動局,とうきょう　たかしお　２１～２３,150,Ｆ３Ｅ,1,佃サブセンター
基地局,,たかしお　つきじ,150,Ｆ３Ｅ,5,浜離宮サブセンター
基地局,移動局,とうきょう　たかしお　３１、３２,150,Ｆ３Ｅ,1,浜離宮サブセンター
基地局,,たかしお　しばうら,150,Ｆ３Ｅ,5,芝浦サブセンター
基地局,移動局,とうきょう　たかしお　４１～４４,150,Ｆ３Ｅ,1,芝浦サブセンター
基地局,,たかしお　のみかわ,150,Ｆ３Ｅ,5,呑川水門
基地局,移動局,とうきょう　たかしお　５１、５２,150,Ｆ３Ｅ,1,呑川水門
