年代１（年）,年代２（年）,噴火記事
1487,長亨元,噴火、このため飢饉になる。
1518,永正15,２月２８日噴火、５年続く。
1522,大永2,翌年まで噴火、桑園被害大
1605,慶長10,１０月２７日噴火、田畑被害
