番号,施設名称,所在地
1,宝田橋,千代田区九段南１－２－１
2,月島ふ頭,中央区豊海町
3,浜町,中央区日本橋浜町１丁目地先
4,常盤橋,中央区日本橋本石町２－１番先
5,日の出桟橋,港区海岸２丁目地先
6,お台場海浜公園,港区台場２丁目地先
7,両国,墨田区横網１丁目地先
8,平井橋,墨田区立花３丁目地先
9,白鬚橋南船着場,墨田区堤通１丁目地先
10,浅草東参道二天門防災船着場,台東区花川戸２丁目地先
11,新砂緊急用船着場,江東区新砂３丁目
12,有明客船ターミナル,江東区有明３丁目
13,青海客船ターミナル,江東区青海２丁目
14,夢の島マリーナ,江東区夢の島先
15,夢の島乗船場,江東区夢の島地先
16,黒船橋乗船場,江東区門前仲町１－１番地先
17,木場六丁目乗船場,江東区木場６丁目
18,亀戸中央公園乗船場,江東区亀戸８丁目
19,豊洲三丁目乗船場,江東区豊洲３丁目
20,旧中川川の駅スロープ,江東区大島９丁目
21,大井ふ頭中央海浜公園,品川区八潮４丁目地先
22,水辺ライン（大井）,品川区勝島２丁目地先
23,東海橋,品川区北品川３丁目
24,勝島１丁目,品川区勝島
25,多摩川二丁目緊急用船着場,大田区多摩川２丁目
26,東京都漁連水産物流通センター,大田区京浜島３丁目
27,大森ふるさとの浜辺公園,大田区平和の森公園２－２
28,羽田２、３丁目,大田区羽田２、３丁目
29,東糀谷六丁目,大田区東糀谷６丁目
30,羽田空港天空橋,大田区羽田空港１丁目
31,岩淵緊急用船着場,北区志茂５丁目
32,岩淵,北区志茂５丁目
33,豊島,北区豊島５丁目地先
34,北赤羽,北区浮間１
35,白鬚西,荒川区南千住８丁目地先
36,小豆沢,板橋区小豆沢４丁目地先
37,板橋緊急用船着場,板橋区舟渡地先
38,新田緊急用船着場,足立区新田３丁目
39,足立緊急用船着場,足立区足立２丁目
40,千住,足立区千住曙町地先
41,堀切緊急用船着場,葛飾区堀切１－１２
42,柴又緊急用船着場,葛飾区柴又７－１９
43,東立石緑地公園船着場,葛飾区東立石４丁目地先
44,新小岩防災船着場,葛飾区西新小岩１－１番先
45,青戸六丁目広場付近護岸,葛飾区青戸６－４０番先
46,東京東部漁協荒天時避難繋船場,葛飾区奥戸７－２０番先
47,第五建築事務所上平井橋係留所,葛飾区東四つ木１－１番先
48,ミヨシ油脂（株）専用荷揚げ場,葛飾区堀切４－６６番先
49,上篠崎,江戸川区上篠崎２－２７番地先
50,葛西臨海公園,江戸川区臨海町６丁目地先
51,一之江橋,江戸川区新堀１－１番地先
52,東篠崎,江戸川区東篠崎２丁目地先
53,小松川,江戸川区小松川１丁目
54,新今井橋,江戸川区江戸川４丁目
55,平井,江戸川区平井６－７１番地先
56,なぎさ公園,江戸川区南葛西７－３番地先
57,今井交通公園,江戸川区江戸川４－９番先
58,スポーツランド,江戸川区東篠崎１－８番地先
59,ポニーランド,江戸川区篠崎３－２３番地先
60,船堀,江戸川区船堀１丁目地先
61,西葛西,江戸川区西葛西２丁目地先
62,篠崎公園,江戸川区上篠崎１－２５番地先
63,小岩菖蒲園,江戸川区北小岩４－３７番先
