品目,都,区,市町村,合計
毛布（千枚）,700,1795,442,2937
敷物（千枚）,1040,857,275,2172
コンロ（千個）,21,,,21
木炭（千袋）,27,,,27
肌着（千組）,267,328,150,745
簡易トイレ（千個）,10,29,19,58
鍋・やかん（千個）,32,,,32
簡易風呂（個）,30,,,30
