種別,計画,公園名,面積（ｍ２）
海浜公園,1,大井ふ頭中央海浜公園,454271.75
海浜公園,2,東京港野鳥公園,248864.24
海浜公園,3,城南島海浜公園,199532.56
海浜公園,4,お台場海浜公園,510809.79
海浜公園,6,辰巳の森海浜公園,169237.48
海浜公園,7,若洲海浜公園,830177.65
海浜公園,8,葛西海浜公園,4117473.01
海浜公園,,,6530366.48
ふ頭公園,12,コンテナふ頭公園,2383.00
ふ頭公園,13,みなとが丘ふ頭公園,50265.00
ふ頭公園,14,東海ふ頭公園,22356.68
ふ頭公園,15,城南島ふ頭公園,7139.71
ふ頭公園,16,京浜島ふ頭公園,12577.15
ふ頭公園,17,京浜島つばさ公園,25037.00
ふ頭公園,18,青海北ふ頭公園,25812.00
ふ頭公園,19,青海南ふ頭公園,45404.00
ふ頭公園,20,水の広場公園,78387.11
ふ頭公園,21,青海中央ふ頭公園,12450.00
ふ頭公園,22,暁ふ頭公園,15502.30
ふ頭公園,23,フェリーふ頭公園,9293.00
ふ頭公園,24,新木場公園,7596.00
ふ頭公園,26,晴海ふ頭公園,25510.44
ふ頭公園,27,春海橋公園,23967.84
ふ頭公園,31,芝浦南ふ頭公園,9925.71
ふ頭公園,32,品川北ふ頭公園,5950.00
ふ頭公園,34,有明西ふ頭公園,10288.00
ふ頭公園,,,389844.94
緑道公園,35,昭和島北緑道公園,24800.00
緑道公園,38,京浜運河緑道公園,77951.63
緑道公園,39,大井ふ頭緑道公園,32662.00
緑道公園,40,東海緑道公園,43890.31
緑道公園,41,城南島緑道公園,20117.52
緑道公園,42,京浜島緑道公園,31562.27
緑道公園,43,東八潮緑道公園,4879.00
緑道公園,44,シンボルプロムナード公園,264205.28
緑道公園,46,青海緑道公園,6251.00
緑道公園,49,有明テニスの森公園,163068.83
緑道公園,52,辰巳の森緑道公園,145503.24
緑道公園,53,夢の島緑道公園,105093.80
緑道公園,54,新木場緑道公園,63074.10
緑道公園,,,983058.98
合計（３８公園）,,,7903270.40
