倉庫名,所在地
立川地域防災センター内集中備蓄倉庫,立川市緑町３２３３－２
災害対策職員住宅柏木住宅内集中備蓄倉庫,新宿区北新宿４－６－１
板橋区若木原公園内倉庫,板橋区若木１－２４　区立若木原公園内
大田区田園調布南倉庫,大田区田園調布南３－８　区立田園調布南公園内
大田区南六郷倉庫,大田区南六郷１－２９－２－１０１　都市再生機構南六郷一丁目団地内
白鬚東防災拠点内備蓄倉庫,墨田区堤通２－４－３　都営白鬚東アパート３号棟１階
都営大江戸線清澄白河駅内備蓄倉庫,江東区白河１－７－１４
都営大江戸線麻布十番駅内備蓄倉庫,港区麻布十番４－４－９
