区分,東京都備蓄分都有倉庫毛布（枚）,東京都備蓄分都有倉庫肌着（組）,東京都備蓄分都有倉庫敷物（枚）,東京都備蓄分都有倉庫ローソク（本）,東京都備蓄分寄託倉庫毛布（枚）,東京都備蓄分寄託倉庫肌着（組）,東京都備蓄分寄託倉庫敷物（枚）,東京都備蓄分寄託倉庫ローソク（本）,区市町村備蓄分ローソク（本）,区市町村備蓄分懐中電灯（個）,区市町村備蓄分毛布（枚）,区市町村備蓄分テント（張）,区市町村備蓄分テント（人）,区市町村備蓄分担架（台）,区市町村備蓄分トイレ（個）,区市町村備蓄分浄水装置（個）,区市町村備蓄分被服（枚）,区分
千代田,-,-,-,-,15200,-,16020,-,3912,1100,33353,77,1078,83,392,28,7410,千
中央,-,-,-,-,18600,-,3420,-,4573,890,37070,12,216,100,1583,21,13300,中
港,8192,6495,25976,3156,31400,-,4035,-,14148,1848,55052,214,2310,102,692,72,79705,港
新宿,400,-,480,-,5500,2000,2880,-,4752,1220,34200,51,-,203,423,50,4385,新
文京,-,-,-,-,20000,1600,3510,-,10826,122,36657,69,1075,48,1747,43,15865,文
台東,-,-,-,-,20000,-,1990,-,871,50,23050,71,836,30,724,5,17250,台
墨田,164102,40426,196555,14752,12735,9728,7988,9000,7641,-,27050,61,805,109,350,79,10000,墨
江東,84330,39600,87914,103844,9537,10190,4513,-,5113,530,51000,40,400,21,4023,76,102000,江
品川,-,-,-,-,7160,-,990,-,9720,18,37123,82,1640,380,1812,93,8554,品
目黒,-,-,-,-,-,-,-,-,784,504,50000,70,445,89,1535,44,10300,目
大田,16425,108760,199654,852,15990,1000,3750,-,3328,2260,150745,190,3800,314,1826,4,117280,大
世田谷,64890,-,65915,5000,-,-,-,-,19000,1200,53000,106,984,106,722,94,52000,世
渋谷,-,-,-,-,11000,2000,1005,-,5000,3285,49250,17,399,22,133,9,-,渋
中野,-,-,-,-,-,1200,1320,-,57352,2500,51850,15,225,50,630,50,-,野
杉並,-,-,-,-,8000,-,4600,-,6503,3400,64525,708,5208,1264,2492,140,6700,杉
豊島,-,-,-,-,2000,-,3050,-,6280,390,33360,94,940,117,1962,38,2100,豊
北,-,-,-,-,9700,7000,5080,-,34000,64,50200,124,1488,207,941,82,64000,北
荒川,66500,-,90765,14467,10698,7560,4940,-,-,59,57450,-,-,-,580,11,7560,荒
板橋,-,-,-,-,10140,2600,990,-,-,3833,137920,1052,25248,2149,627,86,8100,板
練馬,-,-,-,-,21290,2100,9200,-,19804,824,132700,20,460,228,309,111,141150,練
足立,-,-,-,-,21000,13630,17800,18252,11416,1192,262845,121,726,177,3379,129,-,足
葛飾,31972,10000,32986,-,10772,-,12536,-,4608,376,106648,69,897,143,10554,103,-,葛
江戸川,1000,12505,-,-,33026,5000,8325,-,2216,162,43706,22,616,40,356,36,-,戸
区計,437811,217786,700245,142071,293748,65608,117942,27252,231847,25827,1578754,3285,49796,5982,37792,1404,667659,計
