船名,総屯数（ｔ）,航行区域輸送定員,輸送貨物（人）,面積（ｍ２）
さるびあ丸,4965,近海,（沿海定員）１５４６,436.2
かめりあ丸,3837,近海,（沿海定員）１３４３,500
セブンアイランド愛（ジェット船）,279.56,限定沿海,270,-
セブンアイランド夢（ジェット船）,280.72,限定沿海,270,-
セブンアイランド虹,281.14,限定沿海,270,-
