区分,資金の種類,融資対象となる事業,貸付けの相手方,利率（年利）（％）,償還期間
天災資金（一般及び激甚）,経営資金,種苗、肥料、漁業用燃油等の購入等,被害農林漁業者,特別被害者３．０以内／３割被害者５．５以内／その他６．５以内,３年以内～６年以内（激甚災害の場合は４年以内）
天災資金（一般及び激甚）,事業資金,天災により災害を受けたため必要となった事業運営資金,被害組合及び連合会,６．５以内,３年以内
