区分,資金の種類,融資対象となる事業,貸付の相手方,利率（年利）１,利率（年利）２（％以内）,償還期間（年）,償還期間のうち据置期間
天災資金（一般及び激甚）,経営資金,種苗、肥料、漁業用燃油等の購入等,被害農林漁業者,特別被害者,3.0,３以内～６以内（激甚災害の場合は４以内～７以内）,-
天災資金（一般及び激甚）,経営資金,種苗、肥料、漁業用燃油等の購入等,被害農林漁業者,３割被害者,5.5,３以内～６以内（激甚災害の場合は４以内～７以内）,-
天災資金（一般及び激甚）,経営資金,種苗、肥料、漁業用燃油等の購入等,被害農林漁業者,その他,6.5,３以内～６以内（激甚災害の場合は４以内～７以内）,-
天災資金（一般及び激甚）,事業資金,天災により災害を受けたため必要となった事業運営資金,被害組合及び連合会,,6.5,３以内,-
