区分,避難所（カ所）,収容人員（人）,二次避難所（カ所）
千代田,19,13900,4
中央,23,41036,12
港,56,62252,21
新宿,58,69376,57
文京,32,35757,11
台東,45,85145,10
墨田,45,57563,16
江東,191,145470,17
品川,53,112930,31
目黒,38,54719,20
大田,91,136500,31
世田谷,94,241103,66
渋谷,35,44863,10
中野,49,50000,45
杉並,66,115576,23
豊島,42,69104,42
北,72,146952,44
荒川,64,147336,28
板橋,83,106628,28
練馬,99,109671,36
足立,127,150176,53
葛飾,77,84432,50
江戸川,153,156212,31
区計,1612,2236701,686
八王子,135,54151,97
立川,30,39430,15
武蔵野,20,51324,17
三鷹,33,116376,8
青梅,23,10549,11
府中,34,24534,24
昭島,40,17421,4
調布,32,34329,24
町田,71,40832,47
小金井,14,29310,16
小平,40,50330,25
日野,58,69774,14
東村山,26,13183,8
国分寺,17,18304,48
国立,11,11492,11
福生,16,8240,6
狛江,13,6546,2
東大和,29,24760,10
清瀬,26,13458,11
東久留米,24,31708,16
武蔵村山,28,34320,4
多摩,32,43677,23
稲城,38,29830,6
羽村,10,37018,11
あきる野,48,15518,15
西東京,42,40136,28
市計,890,866550,501
瑞穂町,14,11730,2
日の出町,6,2740,13
檜原村,9,2046,1
奥多摩町,38,13321,
多摩町村計,67,29837,16
大島町,24,14822,3
利島村,3,400,
新島村,15,4200,1
神津島村,6,5742,
三宅村,13,11782,1
御蔵島村,2,400,
八丈町,22,10796,1
青ヶ島村,2,,
小笠原村,7,4600,
島しょ町村計,94,52742,6
総計,2663,3185830,1209
