区分,配備先
医療,（一社）東京医薬品卸業協会
医療,商工組合日本医療機器協会
医療,（一社）日本産業・医療ガス協会
医療,（一社）日本衛生材料工業連合会
医療,大東京歯科用品商協同組合
大規模施設等,（公財）東京都歴史文化財団
大規模施設等,（公財）東京都スポーツ文化事業団
大規模施設等,（株）東京スタジアム
大規模施設等,東京都住宅供給公社
大規模施設等,東京都社会福祉保健医療研修センター
大規模施設等,東京トラフィック開発（株）
大規模施設等,（株）東京交通会館
大規模施設等,有電ビル管理（株）
宿泊施設,東京都ホテル旅館生活衛生同業組合
宿泊施設,（一社）全日本シティホテル連盟　本部
宿泊施設,東京都簡易宿泊業生活衛生同業組合
公園,（公財）東京都公園協会
道路,（一社）東京建設業協会
道路,（一社）日本道路建設業協会
道路,（一社）東京都中小建設業協会
道路,（一社）北多摩建設業協会
道路,（一社）南多摩建設業協会
道路,西多摩建設業協同組合
道路,東日本旅客鉄道（株）　東京工事事務所
道路,西武鉄道（株）　　鉄道本部工務部
道路,京王電鉄（株）　　鉄道事業本部　　工務部
道路,京浜急行電鉄（株）　鉄道本部
道路,京成電鉄（株）　　鉄道本部建設部
道路,小田急電鉄（株）　複々線建設部
交通,（株）ゆりかもめ
河川,（公財）東京都環境公社　厩橋分室
河川,（公財）東京都環境公社　潮見分室
河川,（公財）東京都公園協会　水辺事業部水辺ライン課
港湾,東京港埠頭（株）
ライフライン,東京都下水道サービス（株）
ライフライン,東京下水道エネルギー（株）
ライフライン,下水道メンテナンス協同組合
ライフライン,（一社）東京下水道設備協会
ライフライン,（一社）日本下水道施設管理業協会
産業保安,（公社）東京都高圧ガス保安協会
産業保安,（一社）東京都ＬＰガス協会
産業保安,（一社）東京都ＬＰガススタンド協会
産業保安,（一社）東京都火薬類保安協会
産業保安,東京都銃砲火薬商保安協会
建築物,（一社）東京建築士会
建築物,（一社）東京都建築士事務所協会
環境,（公財）東京都環境公社
環境,東京二十三区清掃一部事務組合
環境,（一社）東京都産業廃棄物協会
環境,東京たま広域資源循環組合
環境,ふじみ衛生組合
環境,柳泉園組合
環境,湖南衛生組合
環境,西多摩衛生組合
環境,多摩川衛生組合
環境,小平・村山・大和衛生組合
環境,秋川衛生組合
環境,西秋川衛生組合
環境,多摩ニュータウン環境組合
金融,（株）みずほ銀行　公務第一部
その他,（公財）東京都島しょ振興公社
その他,東京都島嶼町村一部事務組合
その他,（公財）東京都人権啓発センター
その他,（公財）東京税務協会
その他,（公財）東京都体育協会
その他,東京熱供給（株）
その他,社会福祉法人東京都社会福祉協議会
その他,（株）東京臨海ホールディングス
物資・物流,石油連盟
物資・物流,東京都石油商業組合
物資・物流,日本自動車ターミナル（株）　本社
物資・物流,日本自動車ターミナル（株）　　京浜トラックターミナル
物資・物流,日本自動車ターミナル（株）　　板橋トラックターミナル
物資・物流,日本自動車ターミナル（株）　　足立トラックターミナル
物資・物流,日本自動車ターミナル（株）　　葛西トラックターミナル
物資・物流,ケイヒン株式会社
物資・物流,安田倉庫株式会社
物資・物流,株式会社ウインローダー
物資・物流,株式会社ダイワコーポレーション
物資・物流,株式会社丸運
物資・物流,株式会社若洲
物資・物流,株式会社住友倉庫
物資・物流,共栄商事株式会社
物資・物流,共進倉庫株式会社
物資・物流,鴻池運輸株式会社
物資・物流,三井倉庫株式会社
物資・物流,三信倉庫株式会社
物資・物流,三菱倉庫株式会社
物資・物流,新日本物流株式会社
物資・物流,多摩運送株式会社
物資・物流,第一倉庫株式会社
物資・物流,醍醐倉庫株式会社
物資・物流,帝蚕倉庫株式会社
物資・物流,東海運株式会社
物資・物流,東京食料センター株式会社
物資・物流,東洋運輸倉庫株式会社
物資・物流,東洋埠頭株式会社
物資・物流,内外日東株式会社
物資・物流,楠原輸送株式会社　
物資・物流,日本ロジスティック株式会社
物資・物流,日本通運株式会社　
物資・物流,平田倉庫株式会社
物資・物流,澁澤倉庫株式会社
物資・物流,東京倉庫協会
物資・物流,船橋倉庫
物資・物流,毛利倉庫
物資・物流,塩浜倉庫
物資・物流,南千住倉庫
物資・物流,西新小岩倉庫
物資・物流,北烏山倉庫
物資・物流,城南大橋第二倉庫
物資・物流,麻布十番駅地下倉庫
物資・物流,清澄白河駅地下倉庫
物資・物流,西多摩福祉事務所（倉庫）
物資・物流,（一社）全国清涼飲料工業会
物資・物流,東京都生活協同組合連合会
物資・物流,（一社）日本即席食品工業協会
物資・物流,（株）ヤマタネ
物資・物流,全農パールライス東日本（株）
物資・物流,東京山手食糧販売協同組合
物資・物流,木徳神糧（株）
物資・物流,（株）イクタツ
物資・物流,（株）ニュー・ノザワ・フーズ
物資・物流,東京食糧（株）
物資・物流,三多摩食糧卸協同組合
物資・物流,（株）神明
物資・物流,イオン（株）
物資・物流,アサヒグループホールディングス（株）
物資・物流,味の素（株）
物資・物流,イズミヤ（株）
物資・物流,（株）伊藤園
物資・物流,伊藤忠食品（株）
物資・物流,花王（株）
物資・物流,加藤産業（株）
物資・物流,キユーピー（株）
物資・物流,キリン（株）
物資・物流,国分（株）
物資・物流,サッポログループマネジメント（株）
物資・物流,サントリー食品インターナショナル（株）
物資・物流,（株）資生堂
物資・物流,（合）西友
物資・物流,日清食品ビジネスサポート（株）
物資・物流,（株）日本アクセス
物資・物流,日本コカ・コーラ（株）
物資・物流,（株）Ｐａｌｔａｃ
物資・物流,ひかり味噌（株）
物資・物流,三菱食品（株）
物資・物流,（株）明治
物資・物流,森永製菓（株）
物資・物流,森永乳業（株）
物資・物流,雪印メグミルク（株）
物資・物流,ライオン（株）
物資・物流,（株）ライフコーポレーション
物資・物流,（株）ローソン
一時滞在施設,東京しごとセンター
一時滞在施設,千代田都税事務所
一時滞在施設,（公財）東京都中小企業振興公社
一時滞在施設,スクワール麹町
一時滞在施設,日比谷グリーンサロン
一時滞在施設,緑と水の市民カレッジ
一時滞在施設,東京都立一橋高等学校
一時滞在施設,（株）東京交通会館
一時滞在施設,東京舞台芸術活動支援センター
一時滞在施設,東京都立晴海総合高等学校
一時滞在施設,ニューピア竹芝ノースタワー（ニューピアホール）
一時滞在施設,ホテルアジュール竹芝
一時滞在施設,東京都立産業貿易センター浜松町館
一時滞在施設,東京都島しょ農林水産総合センター
一時滞在施設,台場フロンティアビル
一時滞在施設,東京都立三田高等学校
一時滞在施設,東京都計量検定所
一時滞在施設,東京都立芝商業高等学校
一時滞在施設,東京都立六本木高等学校
一時滞在施設,東京都立総合芸術高等学校
一時滞在施設,新宿都税事務所
一時滞在施設,消防博物館
一時滞在施設,東京都立戸山高等学校
一時滞在施設,東京都立中央・城北職業能力開発センター
一時滞在施設,東京都立小石川中等教育学校
一時滞在施設,東京都立向丘高等学校
一時滞在施設,東京都立竹早高等学校
一時滞在施設,東京都立工芸高等学校
一時滞在施設,東京都立忍岡高等学校
一時滞在施設,東京都立浅草高等学校
一時滞在施設,上野グリーンサロン
一時滞在施設,台東都税事務所
一時滞在施設,東京都立蔵前工業高等学校
一時滞在施設,東京都立産業貿易センター台東館
一時滞在施設,東京都立白鴎高等学校
一時滞在施設,東京都立皮革技術センター
一時滞在施設,東京都立墨田川高等学校
一時滞在施設,本所都民防災教育センター
一時滞在施設,東京都立両国高等学校
一時滞在施設,東京都立日本橋高等学校
一時滞在施設,東京都立産業技術研究センター本部
一時滞在施設,タイム２４ビル
一時滞在施設,テレコムセンタービル
一時滞在施設,東京国際展示場
一時滞在施設,ＴＦＴビル
一時滞在施設,有明パークビル
一時滞在施設,有明フロンティアビル
一時滞在施設,江東都税事務所
一時滞在施設,東京都立城東職業能力開発センター
一時滞在施設,東京都立大江戸高等学校
一時滞在施設,東京都立深川高等学校
一時滞在施設,若洲海浜公園ヨット訓練所　
一時滞在施設,東京都立墨田工業高等学校
一時滞在施設,有明テニスの森公園テニス施設
一時滞在施設,東京都立産業技術高等専門学校　品川キャンパス
一時滞在施設,東京都立城南職業能力開発センター
一時滞在施設,大井ふ頭中央海浜公園（スポーツセンター）
一時滞在施設,東京都立小山台高等学校
一時滞在施設,東京都立大崎高等学校
一時滞在施設,東京都写真美術館
一時滞在施設,東京都立駒場高等学校
一時滞在施設,東京都立桜修館中等教育学校
一時滞在施設,大田都税事務所
一時滞在施設,東京都立城南職業能力開発センター大田校
一時滞在施設,東京都立産業技術研究センター城南支所
一時滞在施設,東京都立大田桜台高等学校
一時滞在施設,東京都立世田谷総合高等学校
一時滞在施設,駒沢オリンピック公園総合運動場
一時滞在施設,東京都立松原高等学校
一時滞在施設,東京都立総合工科高等学校
一時滞在施設,東京都立園芸高等学校
一時滞在施設,東京都立深沢高等学校
一時滞在施設,東京消防庁消防学校
一時滞在施設,東京ウィメンズプラザ
一時滞在施設,東京都立青山高等学校
一時滞在施設,東京都立広尾高等学校
一時滞在施設,東京都立稔ケ丘高等学校
一時滞在施設,中野都税事務所
一時滞在施設,東京都立鷺宮高等学校
一時滞在施設,東京都立武蔵丘高等学校
一時滞在施設,東京都立富士高等学校
一時滞在施設,東京都立杉並高等学校
一時滞在施設,池袋都民防災教育センター（池袋防災館）
一時滞在施設,東京都労働相談情報センター池袋事務所
一時滞在施設,東京都立文京高等学校
一時滞在施設,東京都立豊島高等学校
一時滞在施設,東京都障害者総合スポーツセンター　
一時滞在施設,東京都立王子総合高等学校
一時滞在施設,東京都立中央・城北職業能力開発センター赤羽校
一時滞在施設,東京都立赤羽商業高等学校
一時滞在施設,荒川都税事務所
一時滞在施設,首都大学東京　荒川キャンパス
一時滞在施設,東京都立荒川工業高等学校
一時滞在施設,東京都立板橋有徳高等学校
一時滞在施設,東京都立中央・城北職業能力開発センター板橋校
一時滞在施設,東京都立板橋高等学校
一時滞在施設,東京都立練馬高等学校
一時滞在施設,東京都立第四商業高等学校
一時滞在施設,東京都立練馬工業高等学校
一時滞在施設,東京都立光丘高等学校
一時滞在施設,東京都立足立東高等学校
一時滞在施設,東京都立荒川商業高等学校
一時滞在施設,東京都立足立西高等学校
一時滞在施設,東京都立足立新田高等学校
一時滞在施設,足立都税事務所
一時滞在施設,東京都立淵江高等学校
一時滞在施設,東京武道館
一時滞在施設,東京都立産業技術研究センター城東支所
一時滞在施設,東京都立南葛飾高等学校
一時滞在施設,東京都立葛西工業高等学校
一時滞在施設,東京都立城東職業能力開発センター江戸川校
一時滞在施設,東京都立篠崎高等学校
一時滞在施設,東京都立江戸川高等学校
一時滞在施設,東京都立葛西南高等学校
一時滞在施設,東京都立小松川高等学校
一時滞在施設,東京都立八王子拓真高等学校
一時滞在施設,東京都立多摩職業能力開発センター八王子校
一時滞在施設,東京都立松が谷高等学校
一時滞在施設,八王子都税事務所
一時滞在施設,東京都労働相談情報センター八王子事務所
一時滞在施設,東京都立南多摩中等教育学校
一時滞在施設,東京都立八王子桑志高等学校
一時滞在施設,東京都立八王子北高等学校
一時滞在施設,東京都立立川国際中等教育学校
一時滞在施設,立川都民防災教育センター（立川防災館）
一時滞在施設,（公財）東京都農林水産振興財団（立川庁舎）
一時滞在施設,東京都立立川高等学校
一時滞在施設,東京都立三鷹中等教育学校
一時滞在施設,東京都立多摩高等学校
一時滞在施設,東京都青梅合同庁舎
一時滞在施設,（公財）東京都農林水産振興財団（青梅庁舎）
一時滞在施設,東京都立青梅総合高等学校
一時滞在施設,東京都立府中東高等学校
一時滞在施設,東京都立府中工業高等学校
一時滞在施設,東京都立農業高等学校
一時滞在施設,東京都立府中高等学校
一時滞在施設,東京都立多摩職業能力開発センター府中校
一時滞在施設,東京都立府中西高等学校
一時滞在施設,東京都立産業技術研究センター多摩テクノプラザ
