番号,市町名,施設名,★応急給水槽（１５００ｍ３槽）／☆小規模応急給水槽（１００ｍ３槽）,所在地,確保水量（ｍ３）
1,八王子市,鑓水給水所,,鑓水４０１番地,1660
2,八王子市,西寺方給水所,,西寺方町１００６番地１６７,1660
3,八王子市,狭間給水所,,狭間町１９９４番地４７８,5000
4,八王子市,犬目第二給水所,,犬目町７１０番地,1760
5,八王子市,高月給水所,,高月町２２４０番地,5000
6,八王子市,散田給水所,,散田町２丁目６番地１,6660
7,八王子市,東浅川給水所,,東浅川町６７４番地,4330
8,八王子市,寺田配水所,,寺田町１３５９番地４,330
9,八王子市,元八王子配水所,,元八王子町３丁目２７５０番４８７号,150
10,八王子市,北野給水所,,北野町５９５番地３,5280
11,八王子市,南陽台配水所,,南陽台三丁目５番１号,330
12,八王子市,楢原給水所,,楢原町１２９４番地３,13330
13,八王子市,暁町配水所,,暁町三丁目３番１号,830
14,八王子市,久保山配水所,,久保山町二丁目１５番１号,730
15,八王子市,大船給水所,,七国三丁目５６番１号,7330
16,八王子市,鑓水小山給水所,,鑓水二丁目９２番地,23330
17,八王子市,南大沢給水所,,南大沢四丁目１９４２番地,4950
18,八王子市,都立陵南公園,★,長房町１５７２番地,1500
19,立川市,柴崎浄水所,,柴崎町一丁目１番４１号,1500
20,立川市,砂川中部浄水所,,砂川町三丁目１１番７号,0
21,立川市,立川栄町浄水所,,栄町五丁目３８番５号,330
22,立川市,西砂第一浄水所,,西砂町二丁目５３番１４号,0
23,立川市,立川砂川浄水所,,砂川町六丁目４１番１号,5100
24,三鷹市,上連雀浄水所（西配水場）,,上連雀九丁目４１番４号,5430
25,三鷹市,三鷹新川浄水所（東配水場）,,新川二丁目１番１５号,3330
26,青梅市,日向和田浄水所,,日向和田二丁目３７０番地,880
27,青梅市,千ヶ瀬第二浄水所,,千ヶ瀬町一丁目６９番地の１,200
28,青梅市,御岳山第一配水所,,御岳山１７０番地の３,70
29,青梅市,成木配水所,,成木八丁目６９０番地の３,30
30,青梅市,新町給水所,,新町五丁目２４番地の１,2330
31,青梅市,二俣尾配水所,,二俣尾五丁目１０７番地の２,70
32,青梅市,城山配水所,,東青梅六丁目９５番地の１,1440
33,府中市,府中武蔵台浄水所,,武蔵台二丁目７番地,3730
34,府中市,若松浄水所,,若松町四丁目１０番地,1760
35,府中市,幸町浄水所,,幸町二丁目２４番地,1140
36,府中市,府中南町浄水所,,南町一丁目５０番地,1660
37,府中市,都立武蔵野公園,★,多磨町三丁目２番地,1500
38,調布市,上石原浄水所,,上石原一丁目３４番地７号,1120
39,調布市,仙川浄水所,,仙川町三丁目６番地２７号,320
