区分,幅員又は面積１,幅員又は面積２,水深１,水深２（ｍ）
第１航路,幅員（ｍ）,４５０～６００,Ａ．Ｐ．,－１５～－１６
第２航路,幅員（ｍ）,300,Ａ．Ｐ．,－１０～－１２
第３航路,幅員（ｍ）,３００～５５０,Ａ．Ｐ．,-12
芝浦はしけだまり,面積（ｍ２）,77000,Ａ．Ｐ．,-4.0
西芝浦はしけだまり,面積（ｍ２）,7252,Ａ．Ｐ．,-3.0
１３号地その２（はしけだまり）,面積（ｍ２）,62000,Ａ．Ｐ．,-4.0
７号地船だまり,面積（ｍ２）,10700,Ａ．Ｐ．,-3.0
城南島小型油槽船だまり,面積（ｍ２）,18650,Ａ．Ｐ．,-4.0
