市町村等をまとめた地域,市町村等,雨量基準,土壌雨量指数基準
２３区西部,千代田区,Ｒ３＝５０,139
２３区西部,中央区,Ｒ１＝３０,154
２３区西部,港区,平坦地：Ｒ３＝５０平坦地以外：Ｒ１＝３０,123
２３区西部,新宿区,Ｒ１＝２５,138
２３区西部,文京区,Ｒ１＝２５,134
２３区西部,品川区,Ｒ１＝２５,123
２３区西部,目黒区,Ｒ１＝２５,123
２３区西部,大田区,Ｒ１＝２５,123
２３区西部,世田谷区,Ｒ１＝３０,120
２３区西部,渋谷区,Ｒ１＝２５,133
２３区西部,中野区,Ｒ１＝２５,139
２３区西部,杉並区,Ｒ１＝３０,131
２３区西部,豊島区,Ｒ１＝２５,138
２３区西部,北区,Ｒ３＝４０,123
２３区西部,板橋区,Ｒ１＝３０,124
２３区西部,練馬区,Ｒ１＝３０,132
２３区東部,台東区,Ｒ１＝３０,134
２３区東部,墨田区,Ｒ１＝４０,154
２３区東部,江東区,平坦地：Ｒ３＝６０平坦地以外：Ｒ１＝３０,154
２３区東部,荒川区,Ｒ１＝３０,134
２３区東部,足立区,Ｒ１＝４０,154
２３区東部,葛飾区,Ｒ１＝３０,154
２３区東部,江戸川区,平坦地：Ｒ１＝４０平坦地以外：Ｒ３＝６０,154
多摩北部,立川市,Ｒ１＝３０,136
多摩北部,武蔵野市,Ｒ１＝２５,144
多摩北部,三鷹市,Ｒ１＝３０,139
多摩北部,府中市,Ｒ１＝３０,144
多摩北部,昭島市,Ｒ１＝３０,136
多摩北部,調布市,Ｒ１＝４０,139
多摩北部,小金井市,Ｒ１＝３０,141
多摩北部,小平市,Ｒ１＝２５,141
多摩北部,東村山市,Ｒ１＝２０,144
多摩北部,国分寺市,Ｒ１＝２５,144
多摩北部,国立市,Ｒ１＝３０,150
多摩北部,狛江市,Ｒ１＝３０,150
多摩北部,東大和市,Ｒ１＝３０,144
多摩北部,清瀬市,Ｒ１＝４０,141
多摩北部,東久留米市,Ｒ１＝２０,141
多摩北部,武蔵村山市,Ｒ１＝４０,111
多摩北部,西東京市,Ｒ１＝２０,141
多摩西部,青梅市,Ｒ１＝５０,128
多摩西部,福生市,Ｒ１＝５０,120
多摩西部,羽村市,Ｒ１＝５０,134
多摩西部,あきる野市,Ｒ１＝５０,120
多摩西部,瑞穂町,平坦地：Ｒ３＝５０平坦地以外：Ｒ３＝７０,134
多摩西部,日の出町,Ｒ１＝４０,123
多摩西部,檜原村,Ｒ１＝５０,124
多摩西部,奥多摩町,Ｒ１＝５０,124
多摩南部,八王子市,Ｒ１＝４０,104
多摩南部,町田市,Ｒ１＝４０,107
多摩南部,日野市,Ｒ１＝３０,112
多摩南部,多摩市,Ｒ１＝３０,117
多摩南部,稲城市,Ｒ１＝３０,117
大島,大島町,Ｒ１＝４０,98
新島,利島村,Ｒ１＝５０,144
新島,新島村,Ｒ１＝４０,121
新島,神津島村,Ｒ１＝５０,128
八丈島,八丈町,Ｒ３＝８０,137
八丈島,青ヶ島村,Ｒ１＝４０,130
三宅島,三宅村,Ｒ１＝３０,114
三宅島,御蔵島村,Ｒ１＝４０,156
小笠原諸島,小笠原村,Ｒ１＝５０,80
