区分１,区分２,橋数（橋）,橋長（ｍ）,橋面積（ｍ２）,橋齢別現状１５年未満,橋齢別現状１５～２５年,橋齢別現状２５年以上
鋼橋,１５ｍ未満,84,844,10391,2,2,80
鋼橋,１５～３０ｍ未満,113,2630,16633,8,15,90
鋼橋,３０～１００ｍ未満,163,9095,158143,23,28,112
鋼橋,１００ｍ以上,129,35110,555625,21,18,90
鋼橋,計,489,47679,740792,54,63,372
コンクリート橋,１５ｍ未満,512,2946,35747,19,16,477
コンクリート橋,１５～３０ｍ未満,94,1974,28862,31,14,49
コンクリート橋,３０～１００ｍ未満,59,2830,38347,17,6,36
コンクリート橋,１００ｍ以上,26,5395,71026,3,4,19
コンクリート橋,計,691,13145,173982,70,40,581
混合橋,１５ｍ未満,6,31,441,0,0,6
混合橋,１５～３０ｍ未満,12,234,15944,0,0,12
混合橋,３０～１００ｍ未満,15,881,15280,1,0,14
混合橋,１００ｍ以上,34,10546,162604,12,1,21
混合橋,計,67,11692,194269,13,1,53
石橋,１５ｍ未満,-,-,-,-,-,-
石橋,１５～３０ｍ未満,-,-,-,-,-,-
石橋,３０～１００ｍ未満,-,-,-,-,-,-
石橋,１００ｍ以上,-,-,-,-,-,-
石橋,計,-,-,-,-,-,-
合計,１５ｍ未満,568,3821,46579,21,18,563
合計,１５～３０ｍ未満,230,4838,61439,39,29,151
合計,３０～１００ｍ未満,251,12806,211770,41,34,162
合計,１００ｍ以上,198,51051,789254,22,45,122
合計,計,1247,72516,1109042,123,126,998
横断歩道橋,,640,34939,67749,16,15,609
人道橋,,98,3413,6797,14,33,51
