船名,全長（ｍ）,トン数（ｔ）,搭載人員,巡航速力（Ｋｎｏｔ）,巡航速力（Ｋｍ）,主燃料,航行区域
ふじ,20.05,29.00,30,25.7,47.5,軽油,沿海
あおみ,18.00,21.00,11,37.9,70.1,軽油,沿海
だいば,11.98,7.90,15,20.5,37.9,軽油,沿海
しおかぜ,13.50,10.00,14,35.2,65.2,軽油,限定沿海
ひので,11.77,12.00,15,26.2,48.5,軽油,沿海
たかお,13.00,10.00,14,35.0,64.8,軽油,沿海
すみだ,11.72,13.21,17,13.1,24.3,軽油,平水
あさしお,11.47,7.30,14,26.0,48.1,軽油,沿海
つきしま,11.47,7.30,14,26.0,48.1,軽油,沿海
かわせみ,9.00,4.50,9,41.6,77.0,軽油,限定沿海
はくちょう,9.00,4.50,9,36.3,67.2,軽油,限定沿海
わかちどり,9.00,4.50,9,36.1,66.9,軽油,限定沿海
ゆりかもめ,9.07,3.10,10,16.8,31.1,軽油,平水
らいちょう,9.00,4.60,8,35.2,65.2,軽油,限定沿海
いそちどり,9.00,4.60,8,35.3,65.4,軽油,限定沿海
みやこどり,9.00,4.60,8,35.2,65.2,軽油,限定沿海
はまちどり,7.16,4.70,13,30.3,56.1,軽油,限定沿海
すみれ,9.00,4.60,8,35.2,65.2,軽油,限定沿海
あじさい,8.65,3.70,8,36.2,67.0,軽油,限定沿海
すいせん,6.79,3.40,12,27.6,51.1,軽油,限定沿海
なでしこ,6.79,3.40,12,27.6,51.1,軽油,限定沿海
きく,4.96,1.30,6,24.0,44.4,ガソリン,限定沿海
ひめゆり,4.86,1.50,5,23.9,44.2,軽油,限定沿海
２３隻,,,,,,,
