区分,東京都備蓄分（クラッカー・アルファ化米・即席麺）都有倉庫（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）寄託倉庫（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）ランニングストック（食数）,東京都備蓄分（クラッカー・アルファ化米・即席麺）計（食数）,区市町村備蓄分乾パン（食数）,区市町村備蓄分インスタント（食数）,区市町村備蓄分米（食数）,区市町村備蓄分缶詰主食（食数）,区市町村備蓄分缶詰副食（食数）,区市町村備蓄分その他内容,区市町村備蓄分その他食数,区市町村備蓄分計（食数）,区市町村備蓄分水（？）,区分
瑞穂町,-,1000,-,1000,17675,-,-,2121,-,,,19796,8646,瑞
日の出町,-,4900,-,4900,-,-,32700,3600,-,,,36300,-,日
檜原村,-,-,-,0,1128,-,12700,7620,-,,,21448,6000,檜
奥多摩町,-,-,-,0,-,-,2260,-,-,,,2260,660,奥
多摩町村計,0,5900,0,5900,18803,0,47660,13341,0,,,79804,15306,計
大島町,12000,-,-,12000,-,-,-,-,-,,,0,-,大
利島村,-,4200,-,4200,4480,-,145,50,80,おかゆ,2970,7725,1404,利
新島村,-,60690,-,60690,57610,-,3800,-,-,,,61410,150,新
神津島村,-,13300,-,13300,12000,-,-,-,-,,,12000,-,神
三宅村,5000,5390,-,10390,5400,-,-,-,-,,,5400,-,三
御蔵島村,-,3850,-,3850,4200,-,-,-,-,,,4200,-,御
八丈町,16100,7000,-,23100,7000,-,-,-,-,,,7000,-,八
青ヶ島村,-,700,-,700,-,-,-,-,200,クラッカー,400,600,156,青
小笠原村,34950,-,-,34950,-,-,3395,-,-,,,3395,34560,小
島しょ町村計,68050,95130,0,163180,90690,0,7340,50,280,,3370,101730,36270,計
都外,,,,0,,,,,,,,,,外
