市町村等をまとめた地域,市町村等,雨量基準,土壌雨量指数基準,複合基準,指定河川洪水予報による基準
２３区西部,千代田区,Ｒ３＝５０,神田川流域＝１８,-,-
２３区西部,中央区,Ｒ１＝３０,隅田川流域＝３０神田川流域＝１８,-,-
２３区西部,港区,平坦地：Ｒ３＝５０平坦地以外：Ｒ１＝３０,古川流域＝１３,-,-
２３区西部,新宿区,Ｒ１＝２５,神田川流域＝１８,Ｒ１＝２０かつ神田川流域＝１４,-
２３区西部,文京区,Ｒ１＝２５,神田川流域＝１８,-,-
２３区西部,品川区,Ｒ１＝２５,目黒川流域＝１０,-,-
２３区西部,目黒区,Ｒ１＝２５,目黒川流域＝１１,-,-
２３区西部,大田区,Ｒ１＝２５,-,平坦地：Ｒ１＝２０かつ多摩川流域＝３５,多摩川［田園調布（上）］
２３区西部,世田谷区,Ｒ１＝３０,野川流域＝１６、仙川流域＝６、烏山川流域＝５,-,多摩川［田園調布（上）］
２３区西部,渋谷区,Ｒ１＝２５,渋谷川流域＝５,-,-
２３区西部,中野区,Ｒ１＝２５,神田川流域＝１４、妙正寺川流域＝６,Ｒ１＝２０かつ神田川流域＝９,-
２３区西部,杉並区,Ｒ１＝３０,神田川流域＝１４、妙正寺川流域＝７、善福寺川流域＝９,-,-
２３区西部,豊島区,Ｒ１＝２５,神田川流域＝１８,-,-
２３区西部,北区,Ｒ３＝４０,隅田川流域＝１９新河岸川流域＝２７石神井川流域＝１７,-,荒川［岩淵水門（上）］
２３区西部,板橋区,Ｒ１＝３０,新河岸川流域＝１７石神井川流域＝１０,-,荒川［治水橋・岩淵水門（上）］
２３区西部,練馬区,Ｒ１＝３０,石神井川流域＝１４,-,-
２３区東部,台東区,Ｒ１＝３０,隅田川流域＝２６,Ｒ１＝２０かつ隅田川流域＝１６,-
２３区東部,墨田区,Ｒ１＝４０,隅田川流域＝２０,-,荒川［岩淵水門（上）］
２３区東部,江東区,平坦地：Ｒ３＝６０平坦地以外：Ｒ１＝３０,隅田川流域＝２２,-,荒川［岩淵水門（上）］
２３区東部,荒川区,Ｒ１＝３０,隅田川流域＝２０,-,荒川［岩淵水門（上）］
２３区東部,足立区,Ｒ１＝４０,綾瀬川流域＝１３、隅田川流域＝３０,-,中川［吉川］、綾瀬川（谷古宇区間）［谷古宇］、芝川・新芝川［青木水門］、荒川［岩淵水門（上）］
