品名,調達先（予定）住所・名称,調達先（予定）電話,即時調達数量（食）,即時調達数量（ｋｇ）,即時調達在庫場所
梅干,千代田区外神田２－２－１７共同万世ビル東京都漬物事業協同組合,03-3253-9744,4096950,40970,中央区勝どき３－３－１７（株）金久ほか
しょう油漬,千代田区外神田２－２－１７共同万世ビル東京都漬物事業協同組合,03-3253-9744,5542680,55427,中央区勝どき３－３－１７（株）金久ほか
たくあん,千代田区外神田２－２－１７共同万世ビル東京都漬物事業協同組合,03-3253-9744,6284850,94273,中央区勝どき３－３－１７（株）金久ほか
つくだ煮煮豆,文京区本郷４－１－１１東京都佃煮惣菜工業協同組合,03-3811-2229,1964820,29472,大宮市吉野町１－４１０－６日冷大宮配送センターエムエスフーズほか
みそ,中央区日本橋浜町２－１６－５東味ビル東京都味噌工業協同組合,03-3669-5391,3807300,47591,中野区本郷３－３２－１９（資）油又商店ほか
しょう油,中央区日本橋小網町３－１１東京都醤油協会,03-3666-3286,5132138,１２８３０ｌ,町田市旭町１－２３－２（株）岡直三郎商店ほか
食塩,品川区大井１－４７－１ＮＴビル（財）塩事業センター,03-5743-7711,18000000,270000,世田谷区三軒茶屋２－４７－１１ジャパン・シーズニングほか
