目的,基地局,陸上移動局,固定局
高速電車・軌道・懸垂事業用,1,5,-
高速電車事業用,114,394,-
軌道事業用,2,53,-
新交通事業用,2,45,-
懸垂事業用,1,4,-
電気事業用,-,-,22
計,120,501,22
