年代１（年）,年代２（年）,噴火記事
866,仁和2,噴火。安房の国に砂石粉土。京都に雷鳴聞こえる。降灰砂多く、牛馬倒死多数。
1957,昭和32,１１月１０～１１日、群発地震
1966,昭和41,５月～６月、群発地震
1968,昭和43,２月２４～２７日、群発地震
1983,昭和58,８月、群発地震
2000,平成12,７月～９月、群発地震７月１５日地震、Ｍ＝６．３、震度６弱
