番号,区名,施設名,★：応急給水槽（１，５００ｍ３槽）／☆：小規模応急給水槽（１００ｍ３槽）,所在地,確保水量（ｍ３）
1,千代田区,区立東郷元帥記念公園,★,三番町１８番地,1500
2,千代田区,都立日比谷公園,★,日比谷公園１番地,1500
3,千代田区,都立一橋高等学校,☆,東神田一丁目１２番１３号,100
4,中央区,晴海給水所,,晴海一丁目６番３号,1300
5,中央区,区立あかつき公園,★,築地七丁目１９番１号,1500
6,中央区,区立堀留児童公園,☆,日本橋堀留町一丁目１番１６号,100
7,港区,芝給水所,,芝公園三丁目６番７号,26600
8,港区,都立青山公園,★,六本木七丁目２３番,1500
9,港区,シティハイツ桂坂（港区防災活動拠点）,☆,高輪二丁目１３番８号,100
10,新宿区,淀橋給水所,,西新宿二丁目１０番１号,24000
11,新宿区,区立鶴巻南公園（注１）,★,早稲田鶴巻町５０７番,1500
12,新宿区,区立百人町ふれあい公園,★,百人町三丁目２８番,1500
13,文京区,本郷給水所,,本郷二丁目７番２９号,20000
14,文京区,区立教育の森公園（注２）,★,大塚三丁目２９番,1500
15,台東区,都立上野恩賜公園,★,上野公園８番５１号,1500
16,墨田区,区立文花公園,★,文花一丁目２７番５号,1500
17,墨田区,区立両国公園,☆,両国四丁目２５番３号,100
18,江東区,亀戸給水所,,亀戸二丁目６番５０号,20000
19,江東区,豊住給水所,,東陽六丁目１番８号,13300
20,江東区,江東給水所,,新砂三丁目６番１７号,22000
21,江東区,有明給水所,,有明三丁目１番８号,6600
22,江東区,区立南砂三丁目公園,★,南砂三丁目１４番２１号,1500
23,江東区,都立辰巳の森海浜公園,★,辰巳二丁目１番,1500
24,品川区,区立戸越公園,★,豊町二丁目１番３０号,1500
25,品川区,区立しおじ公園,★,八潮五丁目６番,1500
26,品川区,都立八潮高等学校,☆,東品川三丁目２７番２２号,100
27,目黒区,八雲給水所,,八雲一丁目１番,16600
28,目黒区,都立林試の森公園,★,下目黒五丁目３７番,1500
29,大田区,馬込給水所,,西馬込二丁目１５番６号,12080
30,大田区,上池台給水所,,上池台一丁目４８番２５号,11000
31,大田区,区立西六郷三丁目公園,★,西六郷三丁目１６番１６号,1500
32,大田区,区立萩中公園,★,萩中三丁目２５番２６号,1500
33,大田区,区立都堀公園,★,大森東一丁目３０番,1500
34,大田区,区立下丸子公園,★,下丸子四丁目２１番,1500
35,大田区,区立女塚なかよし公園,☆,池上五丁目２４番,100
36,大田区,東海給水所,,東海一丁目３番１２号,13300
37,世田谷区,砧浄水場,,喜多見二丁目９番１号,8300
38,世田谷区,砧下浄水所,,鎌田二丁目４番１号,700
39,世田谷区,和田堀給水所,,大原二丁目３０番４３号,20300
40,世田谷区,玉川給水所,,玉川田園調布一丁目１９番１号,20000
41,世田谷区,大蔵給水所,,砧二丁目８番１号,13300
42,世田谷区,駒沢給水所,,弦巻二丁目４１番５号,3200
43,世田谷区,区立こどものひろば公園（注３）,★,下馬二丁目３１番４号,1500
44,世田谷区,区立葭根公園,★,船橋六丁目２１番,1500
45,世田谷区,都立祖師谷公園,★,上祖師谷四丁目２番,1500
46,世田谷区,区立中町二丁目公園,☆,中町二丁目３４番１号,100
47,渋谷区,都立代々木公園,★,代々木神園町二丁目１番,1500
48,渋谷区,都立第一商業高等学校,☆,鉢山町８番１号,100
