"年度","一般利用者数 各種事業参加者[人]","開館日数[日]"
"2014","45637","347"
"2015","54462","340"
"2016","58530","344"
"2017","61617","344"
"2018","54459","347"

"令和元年度港区行政資料集　施設利用状況一覧 エコプラザ","Ver201903",
