階層コード,地域コード,地域,人口総数／2022-10-01,人口総数／2022-09-01,人口総数／2021-10-01,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13847536,13843947,13818291,3589,0.03,29245,0.21
1,13100,区部,9572120,9568947,9543420,3173,0.03,28700,0.3
1,13200,市部,4195678,4195207,4194377,471,0.01,1301,0.03
1,13300,郡部,55486,55523,55865,-37,-0.07,-379,-0.68
1,13350,島部,24252,24270,24629,-18,-0.07,-377,-1.53
,,,,,,,,,
住民基本台帳による世帯と人口_令和4年10月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
