階層コード,地域コード,地域,人口総数／令和4年7月1日,人口総数／令和4年6月1日,人口総数／令和3年7月1日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13842882,13836530,13838848,6352,0.05,4034,0.03
1,13100,区部,9565985,9560386,9562778,5599,0.06,3207,0.03
1,13200,市部,4196919,4196171,4195425,748,0.02,1494,0.04
1,13300,郡部,55644,55623,55952,21,0.04,-308,-0.55
1,13350,島部,24334,24350,24693,-16,-0.07,-359,-1.45
,,,,,,,,,
住民基本台帳による世帯と人口_令和4年7月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
