"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","広報紙｢広報みなと｣・｢ミナトマンスリー（英字広報紙）｣","158","24.0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","区の公式ホームページ","76","11.6"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","駅や街中での啓発ポスター等の掲示物","295","44.8"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","路面シート","214","32.5"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","環境美化キャンペーン","49","7.4"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","巡回指導員（による指導）","114","17.3"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","ちぃばすの車内テレビ","103","15.7"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","デジタルサイネージでの動画放映","6","0.9"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","見かけたり聞いたりしたことはない","160","24.3"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、 あなたは見かけたり聞いたりしたことがありますか。","その他","8","1.2"

"第32回港区民世論調査単純集計表・みなとタバコルールQ17","Ver202003",,,,
