"年度","交流プラザ(あいぷら)利用者数[人]","交流プラザ(あいぷら)学童保育延出席者数[人]","交流プラザ(あいぷら)高齢者利用者数[人]"
"2014","100609","22287","14287"
"2015","99835","21182","14079"
"2016","97708","22698","12945"
"2017","95806","22196","14076"
"2018","96485","22772","14421"

"令和元年度港区行政資料集　施設利用状況一覧 児童高齢者交流プラザ","Ver201903",,
