年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他用生産財
ウェイト,10000,6026.1,3941.2,3423.8,517.4,2084.9,635.8,1449.1,3973.9,2532.7,1441.2
2018-01,109.1,110.3,101,100.4,105.4,127.9,142.2,121.6,107.2,109.5,103.3
2018-02,110.1,113.1,109.2,107.2,122.6,120.6,151.3,107.1,105.5,108.2,100.6
2018-03,141.3,154.9,160.9,165.3,132,143.5,175.7,129.3,120.9,117.6,126.6
2018-04,104.9,102.8,85.1,80.4,116.6,136.3,152.9,129,108.1,114,97.7
2018-05,109,108.6,92.4,89.3,112.9,139.2,168.2,126.5,109.7,110.3,108.6
2018-06,114.7,110.8,98.9,95.2,123.2,133.4,162.4,120.7,120.6,120.6,120.6
2018-07,114.1,114.1,107,104.6,123.2,127.6,148,118.7,114.1,118.6,106.1
2018-08,107.6,109.6,104.8,104,109.7,118.8,143,108.2,104.6,106,102.2
2018-09,124.3,131,130.1,131.2,122.8,132.7,166.4,117.9,114.1,116.8,109.3
2018-10,117.9,114.4,101.2,97.1,128.1,139.5,170.3,126,123.1,127.3,115.9
2018-11,121.8,125,110.2,107.1,130.9,153.1,177.5,142.4,116.8,118.8,113.4
2018-12,116.1,116.5,107.7,105,125.5,133.2,164.5,119.5,115.4,121,105.6
2019-01,104.2,102.1,93.2,90,114.7,119,146.6,106.9,107.4,107.3,107.5
2019-02,108.7,112.4,108.6,106.5,122.7,119.5,134.7,112.9,103.1,105.2,99.2
2019-03,134.2,144.4,154.9,159.2,126.7,124.7,140.2,117.9,118.6,117.7,120.2
2019-04,107.8,104,92.4,88.5,118.4,126.1,131.9,123.5,113.4,120.7,100.5
2019-05,103.7,102.9,92.9,89.9,112.3,121.9,151.9,108.7,104.8,105,104.4
2019-06,109.5,109.2,100,97.4,117.2,126.7,148.6,117,109.8,106.1,116.2
2019-07,114.5,116.8,109.4,107,125.3,130.8,165.9,115.4,110.8,115.6,102.4
2019-08,105,106.9,98.7,97.7,105,122.6,152.6,109.4,102.1,101.6,103
2019-09,128.9,141.2,146.3,150.6,118.3,131.5,169.6,114.8,110.3,112.8,105.9
2019-10,115.4,114.5,98.6,96,116.1,144.5,182.1,128,116.8,123.7,104.7
2019-11,111.7,114.2,106.6,104.8,118.5,128.4,158,115.4,108,113.3,98.8
2019-12,112.6,120.1,116.8,117.9,109.5,126.3,160.6,111.3,101.1,105.8,93
2020-01,107.9,103.2,94.8,94.4,97.7,119.1,144.4,108,114.9,122.6,101.5
2020-02,110.8,111.9,111.2,113.2,98.1,113.1,124.9,107.9,109.3,116.1,97.3
2020-03,128.6,136.2,142.7,147.9,108,123.9,139.9,116.9,117.1,119.5,112.9
2020-04,89.5,91,82.5,80.6,94.7,107.1,115.7,103.3,87.2,87.4,86.9
2020-05,80.3,78,76.7,76,82,80.4,75.1,82.7,83.7,80.1,90.1
2020-06,94.7,92.6,94,92.5,104.2,89.9,84.4,92.3,97.8,88.5,114.3
2020-07,89.4,89.6,88.9,86.9,102.1,91,77.6,96.9,89.1,84.3,97.4
2020-08,85.2,85.6,85.6,85.2,88.3,85.5,70.4,92.2,84.6,80.9,91.2
2020-09,104.8,104.8,109.2,109.5,107.1,96.3,91.5,98.5,104.8,107,100.9
2020-10,100.7,96.8,94.9,92.7,109.5,100.4,100.9,100.3,106.6,105.5,108.4
2020-11,99.8,100,102.6,102.3,104.7,95,88.7,97.7,99.5,98.9,100.7
2020-12,108.4,110.4,116.9,118.9,103.6,98.3,86.5,103.5,105.3,109.2,98.5
2021-01,95.8,95,98.6,99.8,91.1,88.1,83.3,90.2,97,95.5,99.7
2021-02,100.8,103.9,113.9,116.6,95.7,85,69,92,96.2,99.5,90.5
2021-03,130.1,138.5,156.5,163.4,111.3,104.5,105.2,104.1,117.3,118.2,115.8
