年月,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,印刷業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
ウェイト,10000,582.1,445.2,291.9,3330,113.8,699.6,2516.6,187.1,744.8,608.5,951.6,770.9,788.2,157,54,70.4,163.3,-,855,111.2,145.7,69.1,30,499
2018-01,96.5,89.4,78.7,89.5,97.6,177.4,89.1,96.3,107.1,86.9,93.5,108.7,97.3,87,161.7,110.3,62.1,118.8,-,96.5,63.4,121.1,78.4,146.8,96.1
2018-02,96.1,89.2,80.9,90,92.1,169.3,77.8,92.6,105.8,89.9,91.3,113.2,98.9,104.8,134.8,114.6,55.1,128.6,-,92.9,76.8,120.5,74.8,134.9,88.4
2018-03,95.8,90.1,81.4,88.4,88.3,180.6,80.6,86.3,77.6,82.1,87.7,129.9,98.7,107.5,215.6,112.7,60.1,135.7,-,81.8,56.7,108.3,59.5,59.7,84.1
2018-04,95.1,91.1,81.8,94.4,85.3,203.1,65.7,85.3,88.8,85.1,94.3,124,100.7,104.7,148.2,116.7,60.6,181.3,-,83.6,41.9,107.4,52.5,54.6,92.1
2018-05,98,94.3,84.5,95.7,90.2,254,75.7,86.8,59.3,89,104,131.8,99.8,94.3,175.2,108.6,64.9,171.7,-,88.9,39.3,115.3,56.2,117.8,95.1
2018-06,98.2,92.8,87.3,100.4,93.3,261.7,76.4,90.4,78.6,92.1,108.5,125.2,102.1,83.7,134.8,118.7,58.2,167,-,90.6,44.6,121,66.4,92.2,95.2
2018-07,98.7,93.2,86.5,104.8,85.9,245.4,63.6,84.9,107.8,93.9,106.6,131.8,102.9,88.6,229.1,127.6,65.4,139.2,-,91.4,20.4,123.4,63.2,175.8,96.6
2018-08,102.5,90.7,92.7,99.9,93.8,246.1,66.4,94.5,96.3,100.2,124.4,149.2,101.3,80.5,175.2,91.4,70.6,145.5,-,89.8,15.1,124.5,58.5,174.1,95.5
2018-09,106.2,92.2,88.3,100.5,107.9,219.6,66.8,114.3,111.5,99.7,112.2,150.1,99.5,86,121.3,108,61.3,104,-,97.1,31.2,128.1,59.2,162.2,104.1
2018-10,102.9,93.7,89.7,103.1,92.8,212.6,66.6,94.7,163.4,104.2,106.8,148.2,99,87.7,107.8,100.5,58.7,108.9,-,106.8,54,131.5,65.9,52.9,120.3
2018-11,108.8,93.4,90.3,104.1,98.6,227.6,77.3,98.7,168.8,103.5,121.1,158.6,100.3,89.9,148.2,102.8,68.9,112.7,-,118,68.8,133.6,70.3,88.8,132.8
2018-12,111.5,92.6,96.4,105.2,99.5,189.9,97.1,96,215.9,100.8,116.4,165.4,100.3,90.4,188.7,124.1,71.4,91.5,-,126.4,78.2,132.3,72.7,172.4,140.2
2019-01,107,87.4,94.8,100.9,100.3,168.9,94.4,98.8,52.2,101.1,119.1,168,98.3,87,148.2,113.7,78.5,119.9,-,114.1,94.3,129.2,79.9,180.9,114.8
2019-02,112.7,88.9,96.8,102.4,105.5,147.2,85.5,109.2,88.1,97,123.8,190.1,98.1,91.1,148.2,111.6,79.3,128.6,-,119.6,103.7,128.8,79.4,167.3,123.1
2019-03,110.6,93.1,95.9,100.4,87.9,118.3,75.9,89.9,124.1,84.2,112.1,247.1,99.2,93.1,188.7,109.6,84.7,133.9,-,99.4,111.7,112.3,63,49.5,100.9
2019-04,116.1,92.2,103.5,97.8,94.8,151.5,75.7,97.5,93.2,83,114.7,285.4,102.7,88.4,148.2,112.4,96.1,197.2,-,93.2,91.6,109.3,65.9,104.1,92
2019-05,111.7,99.6,99.5,98.4,93.1,161.8,71.5,96,228.8,89.7,105.7,222.6,100.3,86.2,148.2,93.7,99,171.1,-,96,82.2,115.6,67.7,124.6,95.5
2019-06,103.6,95.2,96.8,101.1,94.1,154.8,84,94.2,207.8,91.7,104,155.5,98.2,76.6,121.3,107.7,103.6,148.7,-,97.6,74.2,125.6,73.7,203.1,91.7
2019-07,106.7,98,97.7,102.9,108.9,141.6,76.4,116.5,224.4,89.4,93.8,129.2,100,83.4,175.2,108.6,110.3,130.1,-,94,59.3,126.9,85.5,191.2,87.5
2019-08,107.5,93.7,99,99.4,117.5,128,89.9,124.7,99.3,92.9,95.6,121.6,100.3,113.4,134.8,88.5,108.7,125.7,-,86.1,48.7,123,96.4,180.9,76.6
2019-09,103.2,96.4,101.1,100.3,112.5,127.2,79.7,120.9,89.5,86.5,76.5,117.9,100.1,106.1,161.7,97.7,98.8,113.5,-,81.7,68.8,101.8,108.4,80.2,75
2019-10,104.6,101.4,98.4,95.3,101.3,135.6,71.5,108,117.6,91.5,96.7,134.4,100.7,108.4,148.2,97.1,90.8,110.1,-,100.1,78.2,104.9,109.8,141.7,99.7
2019-11,102.6,102.6,98.1,89.9,100.7,128.3,75.6,106.5,88.8,94.2,95.1,119.3,99.2,116.3,148.2,100.6,90.5,118.7,-,93.7,88.9,108.8,109.7,88.8,88.4
2019-12,103.2,98.6,101.3,85.1,99.5,112.2,98.4,99.2,130.2,94.9,100.9,130.4,98.4,99.8,148.2,108.5,79.8,102,-,102.1,97,110.3,126.8,145.1,94.8
2020-01,103.1,93.8,100.6,87.8,101.4,134.9,101.6,99.9,56.3,101.3,93.2,127.3,98.9,105.4,121.3,100.1,84.5,122.8,-,110.1,111.7,107.6,136.4,153.6,104.3
2020-02,96.4,93,105,87.9,92.6,108.5,96,91,58,90.7,98.1,107.8,99,106.8,107.8,107.8,78.8,105.2,-,96.7,123.9,102.9,120,93.9,85.8
2020-03,103.2,95.1,104.7,87.1,118.4,94.9,108.1,122.3,86.8,73.1,113.5,98.4,101.3,95.3,94.3,102.1,101.8,117.7,-,89.8,130.6,90.7,111.8,93.9,77.2
2020-04,96.3,94.6,104.3,89.7,94.1,119.3,118.1,86.2,140.7,78.3,115.8,97.2,100.8,88,121.3,91.6,98.3,123.2,-,89.8,114.5,92.8,99.8,56.3,84
2020-05,93.8,96.9,101,95.2,90,96,109.3,84.3,80,92.9,120.7,86.8,99.1,81.3,107.8,105.5,101.2,107.7,-,94.8,105,96.9,96.6,54.6,94.1
2020-06,94.7,97.9,101.2,100.4,90.9,79.4,105.8,87.3,87.5,107.6,103.7,83.5,99.7,83.2,121.3,111.9,106.8,111.1,-,94.2,91.6,98.7,96.6,102.4,92.6
2020-07,97.5,103.7,96.8,105,94,66,108,91.4,90.2,110.4,100,87.1,100,93,161.7,88.9,102.7,110.6,-,92.6,78.2,100.4,81.6,198,88.7
2020-08,95.8,102.2,97.6,105,90.6,77.2,102.6,87.9,104.7,115.1,86,84.5,98.7,105.6,80.9,89,107.5,95.2,-,98.7,70.1,100,83.5,105.8,106.4
2020-09,106.4,104.4,95.2,109.1,111.2,107.5,113.4,110.7,164.7,112.6,97.2,97.6,100.7,108.3,80.9,103.3,100.9,78.1,-,106.3,76.8,98.1,80.2,80.2,120.4
2020-10,102.2,108.9,97.7,112.1,100.2,103.6,101.6,99.6,110.5,110.7,92.1,95.5,100.9,116.8,53.9,100.3,104,80.1,-,111.1,91.6,100.8,93.7,88.8,122.3
2020-11,101.7,107.1,99.7,109.3,94.5,98.6,54.9,105.4,115.9,106.6,90.3,122.4,100.5,101.3,67.4,103.5,109.4,84.2,-,112.4,103.7,104.6,100.9,71.7,120.7
2020-12,108.9,102.5,96.2,111.5,122,114,80.4,133.9,104.7,100.7,89.2,112,100.4,115,80.9,96.1,104.3,64.1,-,103.5,102.3,106.5,98.9,100.7,103.7
2021-01,100.4,101.6,98.4,110,102.8,109.8,68.9,111.9,94.2,99.5,95,119.8,100.4,90.1,67.4,79.3,104.2,59.3,-,96.6,107.8,105,104.5,100.7,90.4
2021-02,95.3,101.5,98.6,109.8,92.4,99.9,64.8,99.8,108.1,96.8,97.8,107.5,100.9,81.2,53.9,101.2,97.5,86.7,-,92.7,114.5,102.1,88.3,10.2,90.8
2021-03,98.6,101.9,94.6,110.3,97.8,103.5,50,110.8,76.6,88.3,104.1,120.5,102.4,90.3,80.9,103.5,89.5,78.8,-,94.3,123.9,91.3,77.5,145.1,87.8
2021-04,96.3,97.6,96.7,109.4,86.1,114.2,56,93.2,134.9,91.6,95.4,119.3,103.3,101.2,67.4,94.7,100.6,131.1,-,88.9,110.4,87.4,89.8,117.8,82.7
2021-05,97.3,102.6,96,111.7,88.2,116.7,51.4,97.1,242,87.8,93.4,119.8,103.2,84.3,53.9,98.3,98.2,84.5,-,96,110.4,90.2,93.2,102.4,94.5
2021-06,103.3,99.3,95.5,114.8,105.6,215.2,54.3,114.9,276.6,87.3,98,97.4,105.4,82.5,67.4,109.1,102.2,129.5,-,101.9,103.7,95.8,81.6,111,105.6
2021-07,100.4,100.5,99.3,114.9,93.2,208.9,59.4,97.4,339,88.9,92.2,94.1,104.5,97.8,53.9,116.1,100,84.7,-,104.4,86.2,96.1,88.4,114.4,112.4
2021-08,96.5,96.3,101.3,109.4,81.3,232,51.8,82.6,336.3,92.3,99.9,88,103.3,102.8,80.9,109.8,103.3,76.5,-,101,78.2,96.3,76.9,134.9,108.8
2021-09,100.2,97.7,101.8,106.1,104.6,217.5,41.6,117,300,86.8,97.6,89.4,102.1,82.6,67.4,97.6,105.6,86.6,-,86.8,94.3,95.3,77.4,170.7,78.9
2021-10,99.1,96.9,102.5,102.4,95.1,229.2,50.2,101.5,312.9,79.2,110.2,104,102.8,88.7,80.9,91.2,109.2,89.2,-,81.3,94.3,96.1,93.7,80.2,72.4
2021-11,99.4,101,103.2,98.8,90.7,251.3,77.3,87.1,277.6,77.3,99.3,141.6,101.9,85.8,67.4,88.1,108.1,97.3,-,80.6,94.3,95.1,98.4,92.2,70.2
2021-12,99.1,101.6,104.6,94.7,96,222.4,62.7,99.5,252.9,85.9,92.5,125.6,102.1,84.4,53.9,84.5,96.5,70.6,-,86.7,94.3,94.9,106.7,104.1,78.8
2022-01,96.2,98.2,101.8,91,88.1,195.6,66.4,89.3,230.8,91,125.2,95.5,102.2,85.4,67.4,87.4,98.7,71.3,-,95.4,94.3,93.6,105.7,116.1,93.5
2022-02,97.8,100.8,99.3,88.4,83.4,188.9,60.8,84.9,259.7,91,135,93.9,103.4,97.9,80.9,96.7,96.7,95.6,-,101.2,94.3,87.6,87.3,90.5,109.3
2022-03,100.3,98.5,99.6,84.9,90,212.4,73.5,89.1,251.2,91,114.9,110.8,103.5,96,53.9,81.2,85.2,89.9,-,114.4,94.3,75.4,60.3,54.6,141.3
2022-04,98.5,98.8,105,80.9,89.1,202.3,60.4,92,203.4,91,100.8,108.7,101.9,75.3,80.9,92.1,76.1,170.8,-,118,94.3,75.5,68.4,117.8,142.6
2022-05,103,104.7,104.4,81.7,93.2,215.7,69,94.3,194.6,91,119.4,131.8,103,68.3,67.4,90.1,78.1,131.4,-,129.4,94.3,78,86.4,97.3,160.1
2022-06,106.4,106.5,105.9,82.4,98.8,210.7,78.3,99.5,164.4,91,120.5,141.4,104.1,69.7,67.4,98.6,70.2,133.4,-,136.8,94.3,81.3,97.4,105.8,169.9
2022-07,105.3,111.4,105.3,83.3,99.7,207.1,73.2,102.2,199,91,115.1,127.8,103.9,71.7,80.9,109.9,61.9,109.4,-,129.4,94.3,83.4,101,122.9,154.9
2022-08,98,106.7,103.6,84.4,97.5,234.8,69.9,98.9,175.3,91,113.7,76.7,103.2,63.2,94.3,102.2,60.2,109.8,-,126,97.2,84.4,91.7,148.5,148
2022-09,94.8,110.8,110.2,81.8,98.9,226.6,63.4,103.1,186.1,91,87.2,74.8,103.3,57.9,53.9,102,65,91.5,-,112,94.3,85.9,65.9,85.4,131.6
