四半期,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他用生産財
ウェイト,10000,7213,4803,3785,1018,2410,859.2,1550.8,2787,2770.5,16.5
2018-Q1,95.8,95.3,92.8,89.6,103.7,101.9,112.4,95.4,95.7,94.5,296.7
2018-Q2,97.4,99.7,98.6,97.4,102.1,103.0,118.0,93.9,92.4,91.2,299.2
2018-Q3,105.7,109.0,110.1,110.9,103.8,108.1,120.6,98.6,95.4,94.3,289.0
2018-Q4,108.7,111.4,109.6,108.5,112.5,113.4,124.6,109.2,103.0,101.7,305.0
2019-Q1,110.7,113.3,115.9,119.4,101.3,109.3,124.1,100.2,102.2,102.1,119.4
2019-Q2,102.8,101.7,105.5,106.8,100.7,95.1,104.3,88.9,106.4,106.4,110.9
2019-Q3,102.7,102.2,105.3,106.8,98.0,96.9,89.9,98.1,101.6,101.8,86.9
2019-Q4,99.8,100.9,100.0,99.9,100.5,99.8,103.2,100.4,98.8,98.6,96.0
2020-Q1,103.4,103.4,106.4,112.5,81.9,98.3,108.6,91.8,101.7,101.6,113.4
2020-Q2,93.6,92.5,92.0,87.3,110.5,95.0,103.2,89.1,96.7,96.7,107.3
2020-Q3,106.0,105.4,103.8,103.1,106.0,111.2,100.4,113.8,104.8,104.9,81.8
2020-Q4,105.0,107.9,109.4,113.1,95.9,100.5,89.8,109.2,99.0,99.1,87.2
2021-Q1,98.7,98.6,101.4,103.2,94.3,94.1,90.5,95.7,97.5,97.4,106.6
2021-Q2,101.7,98.9,101.3,104.7,89.4,95.4,84.7,99.6,109.2,109.2,98.4
2021-Q3,99.9,95.2,97.4,99.7,88.4,93.0,88.5,92.4,109.8,109.7,117.7
2021-Q4,95.3,92.3,92.2,94.8,83.0,88.2,87.8,91.0,104.6,104.5,107.4
2022-Q1,100.3,97.9,93.6,94.4,90.2,107.8,93.2,115.7,105.3,105.2,111.0
2022-Q2,104.3,106.6,103.6,107.4,89.7,113.6,102.0,117.7,98.3,98.2,111.4
2022-Q3,94.6,92.1,89.8,91.1,85.6,99.7,83.7,105.7,99.0,99.0,112.4
2022-Q4,111.1,115.3,120.1,127.7,91.3,98.0,85.0,108.3,101.5,101.4,114.4
2023-Q1,101.7,97.4,107.0,111.8,90.3,82.2,75.5,86.1,108.8,108.7,116.2
2023-Q2,97.6,94.5,102.9,104.3,98.3,76.7,69.5,79.1,107.2,107.2,118.2
2023-Q3,97.3,91.8,95.0,96.5,90.7,87.9,67.9,98.1,110.5,110.2,155.9
2023-Q4,89.7,84.9,88.9,88.1,94.1,71.6,64.5,75.5,104.4,104.2,138.5
2024-Q1,86.1,82.7,97.6,96.4,104.5,56.0,68.5,48.7,91.7,91.3,143.1
2024-Q2,101.8,100.5,123.7,129.3,103.3,52.9,61.4,47.0,107.2,107.0,144.2

東京都工業指数 四半期指数（令和２年基準）平成３０年第１四半期～令和６年第２四半期,,,,,,,,,,,
生産者製品在庫指数（特殊分類別、季節調整済指数）,,,,,,,,,,,
（注）四半期指数は速報値で公表し、翌月に確報値に修正している。,,,,,,,,,,,
