四半期,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他用生産財
ウェイト,10000,5578.6,3445.7,2920.3,525.4,2132.9,790.5,1342.4,4421.4,3034.1,1387.3
2018-Q1,117.1,122.4,110.9,110.0,115.6,144.0,196.8,111.0,110.1,109.7,110.5
2018-Q2,119.6,126.3,108.3,105.5,121.3,151.8,216.5,115.3,111.9,114.0,108.5
2018-Q3,118.6,123.9,114.3,113.9,117.3,137.3,187.3,107.0,112.6,113.9,109.2
2018-Q4,115.2,116.1,109.5,107.4,120.2,128.4,153.7,115.9,113.4,113.9,112.2
2019-Q1,111.5,114.1,109.2,107.0,121.3,123.7,145.8,108.2,107.9,107.3,109.0
2019-Q2,115.6,120.9,111.2,109.6,118.9,133.5,175.7,110.5,109.7,111.1,107.3
2019-Q3,117.6,123.3,118.4,118.5,116.9,129.9,161.9,110.8,110.6,112.0,107.5
2019-Q4,110.1,113.1,109.1,109.9,104.7,121.1,140.7,110.6,105.8,109.0,98.4
2020-Q1,110.0,108.7,103.9,104.6,102.3,117.6,133.5,105.4,110.6,114.4,101.6
2020-Q2,91.3,91.8,93.4,93.4,93.7,87.7,79.3,93.8,90.9,88.7,95.9
2020-Q3,94.5,94.5,95.0,93.9,101.1,93.8,86.7,97.4,95.2,93.3,99.3
2020-Q4,102.2,102.6,105.1,105.8,101.4,100.6,101.7,100.9,101.4,100.9,102.0
2021-Q1,103.7,104.7,110.7,111.9,104.0,95.0,89.3,96.4,102.4,102.6,101.8
2021-Q2,110.3,112.9,121.9,124.0,111.2,96.8,103.6,94.1,107.1,110.3,101.1
2021-Q3,105.6,107.4,115.4,116.7,107.2,94.6,92.9,95.9,103.5,106.4,97.2
2021-Q4,104.9,108.2,121.8,123.3,113.0,89.9,90.1,90.1,100.5,101.8,96.8
2022-Q1,106.3,110.0,119.9,121.5,110.7,93.7,93.6,92.5,101.8,104.0,96.6
2022-Q2,108.2,111.7,123.7,125.9,111.6,91.5,86.3,95.7,104.0,107.4,97.4
2022-Q3,106.5,108.2,119.7,121.4,109.5,90.1,82.4,94.4,104.8,108.9,95.7
2022-Q4,106.3,107.4,122.7,125.0,109.8,86.4,72.7,95.3,105.0,108.4,96.6
2023-Q1,101.8,105.7,116.5,118.5,106.0,85.7,75.3,91.7,97.6,101.4,90.0
2023-Q2,102.0,101.8,109.4,109.6,108.5,90.2,80.8,96.2,101.5,107.8,88.9
2023-Q3,102.1,101.1,108.0,107.4,109.7,90.8,81.3,95.5,103.1,113.3,79.8
2023-Q4,102.4,101.7,113.0,113.2,109.5,84.8,72.2,92.5,102.7,112.6,79.4
2024-Q1,93.7,92.3,99.4,99.9,102.2,79.3,60.8,89.4,95.9,107.6,72.0
2024-Q2,100.4,99.5,105.8,105.3,107.8,89.8,85.2,93.0,100.8,112.6,76.7

東京都工業指数 四半期指数（令和２年基準）平成３０年第１四半期～令和６年第２四半期,,,,,,,,,,,
生産者出荷指数（特殊分類別、季節調整済指数）,,,,,,,,,,,
（注）四半期指数は速報値で公表し、翌月に確報値に修正している。,,,,,,,,,,,
