年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他用生産財
ウェイト,10000,5578.6,3445.7,2920.3,525.4,2132.9,790.5,1342.4,4421.4,3034.1,1387.3
2018-01,111.1,115,101.9,101.9,101.6,136.1,174.2,113.7,106.2,107.1,104.2
2018-02,112.7,118.7,109,107.2,119.2,134.5,180.3,107.5,105.1,106.9,101.2
2018-03,143.4,162,165.4,171.1,133.6,156.5,203.7,128.7,120,118,124.3
2018-04,109.5,112.5,87.4,82.1,116.3,153.2,216.2,116.1,105.7,108.3,100.1
2018-05,112.1,114.1,95.2,92.1,112.5,144.7,206.1,108.5,109.4,109.6,109
2018-06,116.7,115.8,100.9,97.3,121.3,139.9,193.8,108.2,117.7,115.6,122.2
2018-07,116.3,119.7,109.4,107.3,120.6,136.5,186,107.3,111.9,114,107.2
2018-08,108.9,110.7,103.6,102.9,107.2,122.2,165.4,96.7,106.6,108,103.6
2018-09,125.2,135.3,132.7,135.1,119.7,139.3,195.4,106.3,112.5,113.9,109.5
2018-10,119.4,118.7,103.4,99.3,125.7,143.4,190.2,115.8,120.3,121.7,117.2
2018-11,118.1,121.5,110.4,107.2,127.8,139.4,166.6,123.4,114,113.7,114.4
2018-12,117,118.9,109.3,106.9,122.2,134.5,167.6,115.1,114.5,117.5,107.8
2019-01,104.6,104.1,95.9,93.1,111.3,117.3,141.4,103.2,105.2,104.1,107.5
2019-02,108.7,114.1,111.8,109.8,122.4,118,126.4,113,101.8,102.4,100.7
2019-03,135.6,150,161.5,166.6,133.1,131.3,145.3,123,117.4,117.5,117.2
2019-04,110.4,109.6,93.4,88.9,118.3,135.8,170.7,115.3,111.5,115.5,102.8
2019-05,106.1,107.2,97,94.6,110.5,123.6,165.4,98.9,104.8,104.3,105.9
2019-06,110.5,112,103.3,100.9,116.4,126.2,163.7,104.2,108.5,104.2,118.1
2019-07,114.4,117.3,112.1,109.7,126,125.6,151.6,110.3,110.8,113.5,104.8
2019-08,106.4,108.6,100,99.8,100.8,122.5,157.5,101.8,103.6,103.7,103.5
2019-09,127.1,139.8,145.5,150.3,118.8,130.6,167.1,109.2,111.1,113.4,106.1
2019-10,115.2,114.9,101,99,112.1,137.5,169.6,118.5,115.4,120.2,104.9
2019-11,110.4,112,105.6,104.4,112.6,122.3,145.6,108.5,108.5,112.9,98.6
2019-12,113.6,122.4,117,119,105.4,131.3,161.2,113.7,102.5,106,94.7
2020-01,107.7,102.2,94.6,94.2,96.4,114.5,128.3,106.3,114.7,120.6,101.9
2020-02,111.8,114,112.8,114.6,102.6,115.9,124.4,110.9,109.1,114.7,97
