"年月[西暦]","調査項目","設問","事業所の従業者数","選択肢A[件]","選択肢B[件]","選択肢C[件]","選択肢D[件]","選択肢E[件]","選択肢F[件]","選択肢G[件]","選択肢H[件]","選択肢I[件]","選択肢J[件]","選択肢K[件]","選択肢L[件]","選択肢M[件]","選択肢N[件]","選択肢O[件]","選択肢P[件]","選択肢Q[件]","選択肢R[件]","選択肢S[件]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]","選択肢H[%]","選択肢I[%]","選択肢J[%]","選択肢K[%]","選択肢L[%]","選択肢M[%]","選択肢N[%]","選択肢O[%]","選択肢P[%]","選択肢Q[%]","選択肢R[%]","選択肢S[%]"
"202003","区の取組","Q10. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","1～4人","9","10","5","12","3","13","7","10","7","1","7","5","8","1","3","5","4","4","0","29.0","32.3","16.1","38.7","9.7","41.9","22.6","32.3","22.6","3.2","22.6","16.1","25.8","3.2","9.7","16.1","12.9","12.9","0.0"
"202003","区の取組","Q10. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","5～9人","4","4","7","16","3","10","3","6","5","6","7","7","3","4","3","4","5","1","0","16.0","16.0","28.0","64.0","12.0","40.0","12.0","24.0","20.0","24.0","28.0","28.0","12.0","16.0","12.0","16.0","20.0","4.0","0.0"
"202003","区の取組","Q10. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","10～19人","5","4","3","7","0","8","0","3","3","2","4","4","0","1","1","2","0","1","0","45.5","36.4","27.3","63.6","0.0","72.7","0.0","27.3","27.3","18.2","36.4","36.4","0.0","9.1","9.1","18.2","0.0","9.1","0.0"
"202003","区の取組","Q10. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","20～49人","1","2","0","5","1","3","1","2","1","0","3","2","0","0","2","1","3","1","0","10.0","20.0","0.0","50.0","10.0","30.0","10.0","20.0","10.0","0.0","30.0","20.0","0.0","0.0","20.0","10.0","30.0","10.0","0.0"
"202003","区の取組","Q10. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","50～99人","1","2","2","3","1","3","1","5","1","2","2","3","0","0","0","5","0","1","1","10.0","20.0","20.0","30.0","10.0","30.0","10.0","50.0","10.0","20.0","20.0","30.0","0.0","0.0","0.0","50.0","0.0","10.0","10.0"
"202003","区の取組","Q10. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","100～299人","2","2","2","5","0","2","1","3","0","2","6","5","0","1","1","2","1","0","0","16.7","16.7","16.7","41.7","0.0","16.7","8.3","25.0","0.0","16.7","50.0","41.7","0.0","8.3","8.3","16.7","8.3","0.0","0.0"
"202003","区の取組","Q10. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","300人以上","12","8","5","10","7","14","3","8","2","5","8","9","2","2","7","9","4","2","1","42.9","28.6","17.9","35.7","25.0","50.0","10.7","28.6","7.1","17.9","28.6","32.1","7.1","7.1","25.0","32.1","14.3","7.1","3.6"
"202003","区の取組","Q10. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","無回答","0","0","0","0","0","1","1","2","0","0","0","1","1","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","50.0","50.0","100.0","0.0","0.0","0.0","50.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0"

"港区の環境に関する事業者アンケート調査結果・クロス集計表・区の取組Q10","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
