年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,0,2,6,9,5,3,9,7,7,2,3,3,9,12,4,3,1,4,1,2,2,4,0,2,10,5,7,10,35,21,1,3,7,7,5,7,6,4,11,3,6,6,3,2,8,8,10,3,3,4,3,9,4,0,2,1,1,3,1,0,2,6,2,2,0,0,6,8,6,5,2,2,1,3,0,3,9,8,7,7,14,11,2,1,3,2,0,0,2,2,12,8,11,14,8,4,2,2,6,5,0,0,3,3,2,4,1,2,1,2,1,0,16,8,5,7,1,1,1,0,1,1,2,0,16,10,5,7,6,5,3,2,1,3,3,5,12,11,3,3,22,8,1,1,4,1,6,4,3,3,1,2,0,0,0,0,0,1,1,2,0,1,5,4,391,343,734
1,4,2,6,3,3,2,4,4,4,6,5,1,13,11,6,6,3,11,2,2,2,2,3,1,3,3,13,11,27,27,1,4,6,6,8,5,3,10,8,7,5,6,4,3,10,11,4,3,4,9,2,5,3,6,2,1,5,5,2,2,5,5,3,0,1,1,10,5,6,10,0,0,1,2,3,2,8,7,11,11,14,16,1,3,5,0,0,0,5,2,13,10,18,13,5,3,4,2,3,2,0,0,7,4,2,2,2,1,3,1,0,0,18,13,10,4,0,0,1,4,0,1,1,5,14,12,11,8,9,8,2,4,2,3,5,2,13,11,7,5,20,26,1,1,3,4,6,2,6,3,1,2,0,0,0,1,0,0,1,1,0,1,9,1,435,399,834
2,1,1,12,13,5,4,2,8,6,9,6,4,8,8,8,5,10,10,2,0,1,5,0,3,10,6,14,8,32,35,1,4,3,7,6,6,2,8,4,6,10,4,2,3,14,6,8,3,3,5,6,1,4,3,2,0,6,5,5,0,6,7,1,2,1,0,7,8,12,9,2,1,0,3,4,3,11,7,18,11,20,15,4,5,8,4,0,0,2,6,15,12,13,14,7,11,7,6,5,3,0,0,8,0,4,5,1,1,0,1,1,0,17,14,1,6,0,5,0,2,1,0,6,2,14,13,4,11,15,6,2,3,2,0,4,1,11,12,5,10,26,21,0,1,3,8,7,6,7,8,2,3,0,0,1,0,1,0,1,1,1,0,4,10,485,457,942
3,0,4,11,7,5,2,4,6,7,9,2,3,12,11,3,9,5,8,1,0,2,0,2,6,5,8,7,10,41,29,9,4,6,7,11,9,8,7,4,3,5,7,2,3,12,5,6,4,4,4,5,5,6,2,1,0,4,6,3,2,5,5,1,4,0,0,10,16,4,15,1,2,6,5,3,5,3,6,12,17,26,16,6,2,3,3,0,0,5,3,20,12,16,20,3,5,4,8,4,8,0,0,4,3,9,4,0,3,2,2,0,1,17,7,7,7,2,2,3,1,0,2,2,5,12,14,14,5,9,4,1,3,3,9,5,4,15,13,7,1,31,23,0,2,6,6,7,2,4,4,3,4,0,0,2,1,1,0,0,1,2,0,3,6,496,471,967
4,5,3,15,9,6,5,3,6,3,8,5,4,12,7,9,6,8,6,4,0,4,2,3,3,7,7,13,6,38,45,0,4,4,9,13,10,8,12,6,3,5,3,3,3,9,11,7,10,8,4,10,5,3,2,2,3,12,8,6,2,8,6,1,4,0,0,15,13,14,11,0,0,6,4,10,7,8,10,9,12,19,21,3,0,8,7,0,0,4,6,16,9,11,15,4,9,7,3,2,5,0,0,5,8,6,2,4,4,1,2,0,0,16,12,9,7,3,4,1,1,2,1,3,0,19,17,14,15,10,7,8,4,4,2,7,4,23,20,4,4,26,23,0,1,15,6,4,4,3,2,1,3,0,1,2,1,1,2,2,1,1,1,7,4,577,511,"1,088"
5,1,4,12,11,4,4,4,7,3,6,2,3,10,12,10,5,8,8,2,2,4,1,2,4,5,2,8,8,42,34,4,3,7,5,13,8,5,7,5,7,8,5,4,2,7,12,8,9,7,5,7,5,4,7,2,1,8,2,2,2,5,9,4,3,0,2,10,16,7,12,0,0,5,3,7,4,6,6,11,15,32,31,2,3,5,7,0,1,2,2,18,14,15,15,5,5,4,8,1,4,0,0,8,6,2,4,2,1,2,2,0,1,14,19,7,4,2,2,3,2,3,2,2,4,25,17,9,20,11,9,0,1,7,8,5,4,18,22,4,10,24,29,3,3,6,4,9,3,3,6,2,3,0,0,2,0,1,0,3,1,1,0,6,6,531,544,"1,075"
6,2,1,11,8,2,2,10,3,5,6,5,4,15,13,9,6,6,8,1,1,1,1,2,2,7,7,12,10,45,38,5,2,4,5,14,14,3,15,6,5,3,4,3,4,13,5,7,6,5,2,7,4,1,3,1,0,8,9,1,10,9,8,7,4,2,1,11,8,10,12,2,0,4,7,8,11,6,9,14,10,35,41,4,3,2,4,0,0,3,6,12,11,11,15,6,3,6,7,2,4,0,0,5,5,3,9,2,8,1,1,3,1,14,11,8,9,1,3,3,2,2,3,1,1,13,21,23,13,9,7,3,6,7,7,3,7,21,19,6,1,27,35,1,5,6,8,6,5,4,3,3,4,0,1,0,0,3,1,2,0,1,0,12,3,561,561,"1,122"
7,5,1,13,6,7,6,6,10,3,8,3,2,20,11,12,11,8,4,1,2,4,2,2,3,6,3,7,14,54,59,6,4,9,5,6,8,7,4,5,4,3,4,4,6,7,15,4,7,12,3,5,3,5,2,1,1,6,6,2,8,11,10,3,6,0,0,16,12,16,14,0,0,3,2,8,7,6,15,10,14,28,30,1,3,8,5,1,0,1,5,20,16,4,18,4,5,5,8,6,5,0,0,13,5,10,9,1,4,3,3,1,0,16,11,5,5,2,4,3,0,2,2,3,2,17,14,29,29,7,13,5,4,2,4,6,3,11,16,3,5,26,27,1,2,10,7,5,8,2,5,7,3,0,0,1,2,1,1,2,2,2,0,4,4,584,591,"1,175"
8,7,0,9,8,1,7,3,9,4,9,2,4,36,18,9,7,9,7,2,1,2,3,2,3,5,5,16,7,49,49,1,2,10,3,10,12,5,8,10,6,2,2,7,2,10,8,8,9,0,5,3,5,3,8,0,1,8,8,6,5,9,8,4,3,1,1,12,6,25,13,1,0,6,6,14,6,10,8,14,18,44,35,3,4,3,6,1,0,4,5,8,11,18,9,8,5,4,8,4,7,0,0,9,1,6,10,1,1,3,2,0,0,10,6,8,6,5,5,2,2,3,1,2,4,13,20,21,13,11,9,5,6,6,8,8,9,9,15,7,11,25,29,1,4,8,10,8,8,7,4,3,2,1,0,4,3,1,1,2,4,0,1,8,8,629,583,"1,212"
