年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,1,1,7,4,4,2,9,6,5,7,4,1,13,14,5,6,2,7,1,2,2,0,4,2,6,2,9,6,22,22,3,1,5,4,8,8,3,10,10,6,4,6,6,4,9,10,4,2,2,8,1,7,3,4,3,0,3,5,1,2,3,5,2,0,1,1,6,5,7,10,2,1,2,2,2,3,8,8,12,13,10,16,1,4,3,0,0,0,1,3,18,6,17,14,5,6,2,2,2,3,0,0,4,4,1,5,1,1,1,2,1,0,16,12,5,5,0,0,0,4,0,1,1,3,14,16,10,7,8,7,1,3,2,4,2,3,16,10,6,5,17,21,2,2,4,3,4,4,5,3,0,3,0,0,0,1,0,1,1,1,0,1,6,3,391,396,787
1,2,1,13,12,5,5,2,10,7,9,7,5,10,6,7,4,8,10,3,0,1,6,0,2,9,4,19,14,31,36,2,6,4,7,4,3,2,7,4,6,7,3,3,5,9,8,8,3,3,6,4,0,3,2,2,2,5,6,5,0,5,5,0,1,0,0,11,8,13,11,2,0,0,2,4,4,12,5,14,11,22,16,4,5,10,4,0,0,5,4,14,11,12,13,7,7,9,5,7,4,0,0,9,1,4,3,3,1,1,2,1,1,16,15,4,4,0,4,1,2,1,0,3,3,15,7,4,12,16,8,2,3,2,1,4,1,10,10,6,6,28,22,0,0,4,6,7,4,9,5,2,3,0,0,1,0,1,0,1,0,1,0,6,10,502,438,940
2,0,2,10,8,4,2,4,7,3,11,1,3,7,9,4,6,7,6,1,0,2,1,1,5,3,6,7,7,46,32,6,3,4,6,11,9,5,5,2,3,8,7,3,2,13,8,7,4,3,2,7,3,7,1,2,0,5,6,3,1,6,4,1,3,1,0,10,11,5,15,0,2,6,6,2,6,5,7,17,13,22,17,2,3,4,4,0,0,5,4,16,14,18,15,4,8,2,7,2,6,0,0,2,2,6,4,0,3,1,3,0,0,20,8,5,5,1,4,2,1,3,2,4,5,14,11,15,9,10,4,1,2,2,6,5,4,14,12,7,6,29,26,0,3,4,4,6,3,4,6,4,4,0,0,1,1,1,0,0,2,2,1,4,4,481,455,936
3,5,4,9,8,2,4,4,8,7,7,4,3,14,8,8,8,8,7,4,0,4,1,3,4,8,7,15,9,38,38,1,6,4,10,12,8,10,11,4,6,6,4,4,5,12,9,6,7,4,5,4,4,3,0,1,2,13,10,3,2,4,4,0,6,0,0,14,20,13,10,0,1,4,6,12,4,4,12,9,12,22,18,8,0,8,6,0,0,4,6,20,8,14,18,4,8,8,4,2,7,0,0,6,6,7,7,2,4,0,2,0,2,17,9,8,6,2,2,1,0,1,1,3,1,20,21,13,13,10,7,8,4,4,4,6,3,22,22,6,2,24,23,1,2,9,9,6,3,2,2,1,1,0,1,3,1,1,2,2,0,1,1,8,7,564,523,"1,087"
4,1,2,17,10,7,3,5,5,4,5,3,4,5,11,9,4,9,7,1,2,4,2,2,4,8,3,5,7,35,36,1,2,6,3,13,11,6,9,4,6,3,4,5,2,5,11,9,10,8,4,9,2,3,5,4,1,6,1,6,3,7,10,2,2,0,2,15,15,7,14,0,0,7,3,7,5,7,7,13,20,28,23,3,1,7,7,0,1,2,2,18,14,12,16,5,6,2,8,2,4,0,0,8,9,3,4,2,2,3,1,0,0,12,17,4,4,3,2,3,2,4,2,3,3,28,18,10,17,11,11,1,2,7,5,5,4,19,24,7,10,26,27,3,2,11,3,7,3,4,5,2,3,0,0,1,0,1,0,2,2,1,0,6,7,544,528,"1,072"
5,1,4,7,11,3,3,12,6,5,7,6,4,13,9,11,7,6,7,2,1,0,0,2,3,7,8,12,12,46,38,7,4,4,7,16,12,2,15,6,3,5,3,2,3,10,7,4,8,6,4,8,5,2,6,2,1,10,8,1,10,5,5,8,5,2,0,11,11,10,12,1,0,3,5,6,10,7,9,10,10,38,45,5,7,2,5,0,0,2,6,12,14,10,11,5,3,9,8,1,3,0,0,2,4,3,7,3,6,1,2,4,2,15,13,7,8,0,2,3,2,1,1,0,2,16,21,17,11,13,7,3,3,6,6,5,7,21,15,5,4,26,29,1,6,6,7,5,4,3,3,0,3,0,1,1,1,2,0,4,0,0,0,14,4,552,566,"1,118"
6,5,2,13,4,6,5,8,9,5,8,4,2,23,14,11,6,7,6,2,1,5,3,2,2,6,2,10,10,50,50,7,4,7,6,6,9,7,5,6,4,4,6,4,7,7,12,5,7,11,1,7,2,4,2,1,0,6,7,2,8,8,10,3,5,0,1,14,11,11,15,1,0,5,4,7,9,4,15,12,14,27,36,2,3,6,5,1,0,2,5,16,18,10,17,5,5,4,5,6,6,0,0,13,4,9,12,1,6,2,0,1,0,17,14,5,5,1,3,1,1,4,3,3,4,14,16,30,28,7,12,3,6,3,5,5,4,12,19,4,4,26,28,0,0,10,7,4,7,5,5,6,6,0,0,1,1,2,2,0,1,3,0,7,3,584,594,"1,178"
7,6,0,8,9,2,6,3,10,4,10,2,5,30,15,9,11,9,6,2,1,1,4,1,4,5,5,12,11,60,53,2,3,8,4,9,13,4,4,7,8,2,2,8,4,7,11,4,6,1,6,4,3,4,5,0,1,10,7,6,7,9,8,4,4,1,1,15,7,20,11,1,0,4,7,9,7,6,9,12,14,42,33,1,4,3,7,0,0,5,4,12,13,15,12,8,5,3,12,6,7,0,0,9,3,8,12,1,1,3,4,0,1,10,7,8,4,2,3,4,2,3,1,3,4,17,16,24,16,12,12,5,3,4,5,9,7,11,17,5,8,23,32,2,4,7,10,9,8,5,5,4,1,1,0,3,2,1,1,3,4,0,1,4,6,606,599,"1,205"
8,2,3,11,5,2,3,8,5,6,6,5,2,26,21,16,9,5,4,3,3,0,1,6,0,1,1,10,2,46,45,8,5,7,5,12,9,8,11,4,6,2,2,5,3,3,3,9,16,5,1,7,3,3,10,1,2,5,2,2,2,6,10,9,6,0,2,10,7,24,10,2,0,3,1,17,9,12,7,12,16,41,30,2,7,7,5,1,0,3,5,13,11,11,11,4,6,4,6,4,2,0,0,7,6,6,3,0,5,4,1,2,1,12,8,12,9,6,7,4,1,1,2,3,2,4,18,21,18,8,6,4,6,11,7,9,6,9,11,2,11,24,25,2,3,8,9,5,10,3,2,4,5,1,0,2,2,0,2,1,1,0,1,9,7,597,536,"1,133"
