町庁目別人口・世帯数　令和３年１１月１日現在,,,,
地区名称,男,女,合計,世帯
関戸１丁目,430,523,953,506
関戸２丁目,"1,306","1,411","2,717","1,518"
関戸３丁目,659,714,"1,373",687
関戸４丁目,"1,029","1,132","2,161","1,254"
関戸５丁目,706,754,"1,460",751
関戸６丁目,451,439,890,417
,"4,581","4,973","9,554","5,133"
,,,,
連光寺１丁目,"1,888","1,886","3,774","1,631"
連光寺２丁目,"1,205","1,185","2,390","1,016"
連光寺３丁目,888,884,"1,772",841
連光寺４丁目,282,264,546,266
連光寺５丁目,199,187,386,199
連光寺６丁目,411,349,760,384
,"4,873","4,755","9,628","4,337"
,,,,
貝取,615,557,"1,172",625
,615,557,"1,172",625
,,,,
乞田,"1,307","1,215","2,522","1,293"
,"1,307","1,215","2,522","1,293"
,,,,
和田,"4,807","4,519","9,326","4,303"
,"4,807","4,519","9,326","4,303"
,,,,
百草,459,433,892,436
,459,433,892,436
,,,,
落川,645,641,"1,286",575
,645,641,"1,286",575
,,,,
東寺方,887,846,"1,733",837
東寺方１丁目,568,654,"1,222",618
,"1,455","1,500","2,955","1,455"
,,,,
一ノ宮１丁目,"1,187",971,"2,158","1,406"
一ノ宮２丁目,761,755,"1,516",912
一ノ宮３丁目,428,432,860,501
一ノ宮４丁目,982,990,"1,972","1,020"
,"3,358","3,148","6,506","3,839"
,,,,
桜ヶ丘１丁目,941,"1,043","1,984",923
桜ヶ丘２丁目,641,742,"1,383",625
桜ヶ丘３丁目,605,650,"1,255",544
桜ヶ丘４丁目,750,815,"1,565",832
,"2,937","3,250","6,187","2,924"
,,,,
和田（百草団地）,609,658,"1,267",869
,609,658,"1,267",869
,,,,
聖ヶ丘１丁目,891,"1,001","1,892",883
聖ヶ丘２丁目,814,957,"1,771",850
聖ヶ丘３丁目,"1,030","1,078","2,108",938
聖ヶ丘４丁目,357,382,739,300
聖ヶ丘５丁目,56,48,104,34
,"3,148","3,466","6,614","3,005"
,,,,
馬引沢１丁目,914,887,"1,801",943
馬引沢２丁目,"1,236","1,148","2,384","1,286"
,"2,150","2,035","4,185","2,229"
,,,,
山王下１丁目,297,332,629,503
,297,332,629,503
,,,,
中沢１丁目,654,585,"1,239",728
中沢２丁目,900,974,"1,874",845
,"1,554","1,559","3,113","1,573"
,,,,
唐木田１丁目,"1,113","1,184","2,297","1,165"
唐木田２丁目,0,0,0,0
唐木田３丁目,0,0,0,0
,"1,113","1,184","2,297","1,165"
,,,,
諏訪１丁目,"2,047","2,058","4,105","2,026"
諏訪２丁目,"1,756","1,934","3,690","1,627"
諏訪３丁目,515,519,"1,034",504
諏訪４丁目,698,890,"1,588",868
諏訪５丁目,218,297,515,322
諏訪６丁目,0,0,0,0
,"5,234","5,698","10,932","5,347"
,,,,
永山１丁目,946,985,"1,931","1,130"
永山２丁目,"1,566","1,579","3,145","1,582"
永山３丁目,"1,867","2,117","3,984","2,046"
永山４丁目,"1,363","1,537","2,900","1,856"
永山５丁目,927,"1,079","2,006",885
永山６丁目,630,623,"1,253",626
永山７丁目,0,0,0,0
,"7,299","7,920","15,219","8,125"
,,,,
貝取１丁目,"1,029",929,"1,958",979
貝取２丁目,"1,565","1,733","3,298","1,505"
貝取３丁目,399,542,941,449
貝取４丁目,513,556,"1,069",534
貝取５丁目,233,292,525,310
,"3,739","4,052","7,791","3,777"
,,,,
豊ヶ丘１丁目,"1,625","1,548","3,173","1,638"
豊ヶ丘２丁目,"1,417","1,478","2,895","1,354"
豊ヶ丘３丁目,741,861,"1,602",714
豊ヶ丘４丁目,332,370,702,401
豊ヶ丘５丁目,591,693,"1,284",659
豊ヶ丘６丁目,420,497,917,502
,"5,126","5,447","10,573","5,268"
,,,,
落合１丁目,"1,453","1,560","3,013","1,529"
落合２丁目,"1,141","1,104","2,245",896
落合３丁目,"1,438","1,539","2,977","1,492"
落合４丁目,961,"1,131","2,092","1,123"
落合５丁目,"1,047","1,093","2,140",929
落合６丁目,884,832,"1,716",796
,"6,924","7,259","14,183","6,765"
,,,,
鶴牧１丁目,"1,295","1,349","2,644","1,257"
鶴牧２丁目,884,798,"1,682",857
鶴牧３丁目,"2,095","2,235","4,330","1,585"
鶴牧４丁目,357,398,755,336
鶴牧５丁目,904,"1,030","1,934",853
鶴牧６丁目,861,903,"1,764",803
,"6,396","6,713","13,109","5,691"
,,,,
南野１丁目,1,0,1,1
南野２丁目,475,444,919,475
南野３丁目,466,467,933,401
,942,911,"1,853",877
,,,,
東寺方３丁目,131,196,327,186
,131,196,327,186
,,,,
和田３丁目,399,476,875,517
,399,476,875,517
,,,,
愛宕１丁目,246,268,514,290
愛宕２丁目,427,443,870,491
愛宕３丁目,297,429,726,470
愛宕４丁目,"1,235","1,372","2,607","1,382"
,"2,205","2,512","4,717","2,633"
,,,,
,"72,303","75,409","147,712","73,450"
