年齢別人口　令和３年１月１日現在,,,,
年齢,男,女,合計,
0,391,396,787,
1,502,438,940,
2,481,455,936,
3,564,523,"1,087",
4,544,528,"1,072",
5,552,566,"1,118",
6,584,594,"1,178",
7,606,599,"1,205",
8,597,536,"1,133",
9,595,571,"1,166",
小計,"5,416","5,206","10,622",
10,629,642,"1,271",
11,629,602,"1,231",
12,652,642,"1,294",
13,633,614,"1,247",
14,641,617,"1,258",
15,625,566,"1,191",
16,613,599,"1,212",
17,613,615,"1,228",
18,665,601,"1,266",
19,713,705,"1,418",
小計,"6,413","6,203","12,616",
20,729,712,"1,441",
21,786,741,"1,527",
22,766,779,"1,545",
23,783,733,"1,516",
24,808,800,"1,608",
25,758,753,"1,511",
26,698,739,"1,437",
27,723,673,"1,396",
28,671,646,"1,317",
29,671,613,"1,284",
小計,"7,393","7,189","14,582",
30,685,631,"1,316",
31,673,650,"1,323",
32,732,681,"1,413",
33,833,759,"1,592",
34,794,754,"1,548",
35,844,816,"1,660",
36,907,884,"1,791",
37,953,906,"1,859",
38,947,951,"1,898",
39,954,900,"1,854",
小計,"8,322","7,932","16,254",
40,"1,053",919,"1,972",
41,"1,054",952,"2,006",
42,"1,096","1,029","2,125",
43,"1,160","1,112","2,272",
44,"1,170","1,080","2,250",
45,"1,154","1,151","2,305",
46,"1,267","1,231","2,498",
47,"1,306","1,219","2,525",
48,"1,298","1,314","2,612",
49,"1,286","1,178","2,464",
小計,"11,844","11,185","23,029",
50,"1,224","1,197","2,421",
51,"1,168","1,160","2,328",
52,"1,234","1,168","2,402",
53,"1,201","1,082","2,283",
54,891,833,"1,724",
55,"1,089","1,025","2,114",
56,"1,008",974,"1,982",
57,963,916,"1,879",
58,910,878,"1,788",
59,821,835,"1,656",
小計,"10,509","10,068","20,577",
60,816,776,"1,592",
61,764,816,"1,580",
62,753,867,"1,620",
63,741,829,"1,570",
64,761,813,"1,574",
65,764,928,"1,692",
66,747,931,"1,678",
67,822,988,"1,810",
68,895,"1,065","1,960",
69,968,"1,101","2,069",
小計,"8,031","9,114","17,145",
70,996,"1,192","2,188",
71,"1,194","1,434","2,628",
72,"1,241","1,446","2,687",
73,"1,198","1,385","2,583",
74,800,955,"1,755",
75,751,887,"1,638",
76,867,"1,092","1,959",
77,903,"1,162","2,065",
78,921,"1,027","1,948",
79,795,983,"1,778",
小計,"9,666","11,563","21,229",
80,734,915,"1,649",
81,632,763,"1,395",
82,523,686,"1,209",
83,558,653,"1,211",
84,475,650,"1,125",
85,419,611,"1,030",
86,367,439,806,
87,299,494,793,
88,262,413,675,
89,194,324,518,
小計,"4,463","5,948","10,411",
90,155,301,456,
91,127,238,365,
92,72,239,311,
93,58,172,230,
94,46,138,184,
95,30,111,141,
96,18,87,105,
97,15,64,79,
98,7,35,42,
99,4,27,31,
小計,532,"1,412","1,944",
100以上,9,61,70,
合計,"72,598","75,881","148,479",
,,,,
