年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,2,7,7,6,2,8,9,7,6,4,2,11,11,6,6,2,3,1,2,2,0,2,2,7,2,10,7,23,21,1,2,3,4,6,9,3,8,10,5,2,6,6,4,10,10,8,3,2,8,2,11,3,4,2,0,2,8,1,1,4,6,4,0,1,1,8,5,6,9,2,1,3,3,2,2,9,8,11,8,12,14,1,4,2,0,0,0,1,1,13,11,12,15,6,7,1,2,3,5,0,0,4,4,2,4,1,1,3,1,1,1,16,6,4,6,0,0,1,3,1,1,0,4,16,15,7,6,8,6,3,4,1,3,1,4,15,12,3,3,17,13,2,2,4,2,4,3,5,4,0,4,0,0,0,1,0,1,0,1,0,0,6,1,385,383,768
1,2,0,9,6,3,4,3,10,3,9,4,3,9,10,7,5,7,11,1,0,1,5,1,2,10,4,17,13,35,34,2,8,5,7,5,4,2,8,4,7,6,4,4,3,9,8,6,3,5,7,4,1,2,3,1,2,6,4,2,1,4,9,0,1,0,0,13,8,12,11,1,0,0,2,2,5,10,7,12,16,19,14,3,4,10,2,0,0,5,4,19,10,15,16,7,5,7,2,7,2,0,0,8,2,4,3,2,1,1,2,0,1,16,16,6,3,0,2,1,2,1,0,3,3,15,8,6,10,14,9,2,3,3,3,3,0,10,10,8,7,25,25,0,0,3,8,7,4,8,4,2,2,0,0,1,0,1,0,2,0,1,1,8,5,482,438,920
2,0,3,14,11,5,1,2,6,7,9,3,4,10,8,4,4,5,8,2,0,2,2,1,3,4,6,10,10,38,31,3,3,5,5,11,9,1,9,6,2,10,5,2,3,11,6,8,3,1,2,4,4,9,1,2,0,5,7,5,1,8,3,0,2,1,0,7,7,8,8,2,2,5,4,2,1,10,6,17,12,21,16,4,4,5,5,0,0,5,5,17,15,17,12,3,10,3,9,0,7,0,0,4,2,3,4,1,2,1,2,1,0,19,11,4,6,1,6,1,2,3,2,3,3,13,11,13,9,11,4,1,2,1,5,6,4,13,10,7,7,25,23,0,3,4,4,8,3,4,8,3,2,0,0,0,1,0,0,0,1,1,0,3,8,479,439,918
3,3,3,7,7,3,2,6,9,7,9,4,4,14,9,8,9,7,7,4,0,3,1,2,4,6,8,11,9,39,34,5,5,5,12,13,8,12,8,2,3,5,5,4,6,14,8,6,6,6,5,5,4,3,1,1,2,9,8,4,1,5,5,1,7,0,0,12,19,10,17,0,1,4,7,10,6,4,9,9,14,23,17,7,0,7,7,0,0,5,3,22,6,18,19,2,4,8,3,4,5,0,0,6,5,7,5,0,4,1,2,0,1,16,8,8,7,2,1,3,0,1,0,3,2,14,18,12,10,10,6,8,5,5,4,6,3,20,18,4,2,29,24,1,0,8,7,7,4,3,2,1,3,0,0,3,1,1,2,2,1,1,0,7,7,558,498,"1,056"
4,3,2,19,10,5,5,4,5,4,5,3,3,6,8,7,6,9,7,2,1,5,2,2,5,9,4,7,6,37,40,1,2,4,4,8,11,7,11,7,6,3,5,4,1,8,15,6,11,7,5,9,3,2,3,4,1,9,4,5,4,5,8,1,1,0,1,14,16,9,13,0,0,6,1,8,7,7,11,13,19,27,21,3,1,5,7,0,0,2,6,11,16,11,15,7,10,3,6,2,5,0,0,5,7,6,5,4,3,2,0,0,0,16,14,7,5,1,3,2,2,3,3,3,0,27,18,11,17,12,8,1,3,6,5,7,4,19,27,4,8,24,31,2,3,12,5,5,3,5,5,2,4,0,1,2,0,2,0,2,1,2,1,6,6,540,551,"1,091"
5,1,5,6,10,3,2,5,3,5,8,4,3,12,11,9,5,5,4,2,2,0,0,2,3,5,6,12,9,44,41,5,3,6,5,14,11,2,13,4,6,7,3,2,3,6,5,7,9,8,5,9,6,3,8,2,1,8,8,1,8,9,8,4,4,2,1,12,12,12,13,1,0,5,4,5,8,6,6,11,10,36,43,4,6,5,3,0,1,1,5,18,11,11,12,5,3,7,8,1,3,0,0,6,5,1,4,3,5,1,3,2,2,15,13,6,6,1,2,4,2,1,1,1,4,20,19,14,14,11,7,3,2,6,8,4,5,24,15,8,5,21,28,2,6,6,6,8,3,0,2,1,3,0,0,1,0,2,0,3,1,0,0,8,4,537,542,"1,079"
6,4,1,17,6,8,7,12,7,5,6,5,3,17,13,13,6,6,9,2,1,5,3,3,2,8,4,11,11,39,43,5,5,8,7,10,11,7,9,7,5,4,5,3,6,14,14,7,5,9,0,7,1,4,1,0,0,7,5,2,8,10,10,8,5,0,1,14,9,11,13,1,0,5,6,6,11,5,13,14,12,28,37,3,3,5,7,1,0,2,3,19,14,11,17,5,4,3,6,5,7,0,0,7,5,6,12,1,6,2,0,1,0,14,16,7,6,1,2,0,1,3,3,3,2,12,18,28,23,7,9,2,5,4,6,4,6,8,20,4,4,34,30,0,0,11,7,2,6,6,2,4,5,0,1,1,1,2,1,1,1,2,0,11,3,593,583,"1,176"
7,6,0,8,9,2,4,4,10,2,12,2,5,33,13,9,11,11,6,1,1,1,3,1,2,4,4,9,12,65,51,5,2,6,4,10,13,5,5,8,6,1,4,4,4,7,10,4,5,4,6,3,5,3,3,1,1,10,8,7,7,7,7,3,4,1,1,14,10,14,14,1,0,2,7,10,6,8,13,11,14,42,31,0,5,4,5,0,0,3,6,13,12,12,12,7,7,4,10,6,5,0,0,14,4,10,10,1,2,3,4,1,1,13,5,6,5,2,4,5,1,3,1,2,3,19,17,25,22,10,12,7,6,3,7,10,8,14,20,5,8,21,26,2,4,6,8,10,7,4,8,6,2,1,0,3,2,1,2,3,3,1,1,4,4,613,602,"1,215"
8,4,0,10,7,0,5,5,4,6,5,3,1,28,19,15,9,6,5,4,4,0,1,2,2,2,2,14,4,46,49,6,5,8,5,8,8,7,8,5,6,2,2,9,3,5,5,11,18,4,4,6,3,3,9,1,2,6,3,0,4,8,12,6,6,0,2,7,4,24,11,2,0,5,0,18,3,11,8,14,18,35,32,3,3,3,6,1,0,3,3,10,13,15,13,4,5,5,7,4,3,0,0,7,6,4,6,0,4,4,1,2,0,10,7,9,5,5,5,3,2,3,3,3,3,8,16,23,16,11,8,3,5,8,5,8,5,9,7,4,11,24,26,2,3,5,11,4,12,3,2,4,4,0,0,2,2,0,2,1,2,0,1,10,8,583,539,"1,122"
